target_chembl_id,pref_name,search_term
CHEMBL203,Epidermal growth factor receptor erbB1,erbb
CHEMBL4523680,Protein cereblon/Epidermal growth factor receptor,erbb
CHEMBL2111431,Epidermal growth factor receptor and ErbB2 (HER1 and HER2),erbb
CHEMBL2363049,Epidermal growth factor receptor,erbb
CHEMBL4523998,VHL/EGFR,erbb
CHEMBL5838,Receptor tyrosine-protein kinase erbB-3,erbb
CHEMBL2311234,Receptor tyrosine-protein kinase erbB-2,erbb
CHEMBL3137284,MER intracellular domain/EGFR extracellular domain chimera,erbb
CHEMBL4523747,EGFR/PPP1CA,erbb
CHEMBL4630723,ErbB-2/ErbB-3 heterodimer,erbb
CHEMBL3848,Receptor protein-tyrosine kinase erbB-2,erbb
CHEMBL3009,Receptor protein-tyrosine kinase erbB-4,erbb
CHEMBL1824,Receptor protein-tyrosine kinase erbB-2,erbb
CHEMBL4802031,Baculoviral IAP repeat-containing protein 2/Epidermal growth factor receptor,erbb
CHEMBL4106134,FASN/HER2,erbb
