cell_type,abrv,gene
EmbryonicStemCell,ESC,POU5F1
EmbryonicStemCell,ESC,PRDM14
EmbryonicStemCell,ESC,NANOG
EmbryonicStemCell,ESC,SOX2
EmbryonicStemCell,ESC,DPPA4
EmbryonicStemCell,ESC,NR2F6
EmbryonicStemCell,ESC,OTX2
Endothelial,Endo,EOMES
Endothelial,Endo,FOXA2
Endothelial,Endo,SOX17
Endothelial,Endo,GATA4
Endothelial,Endo,GATA6
Endothelial,Endo,HHEX
Mesothelioma,Meso,MIXL1
Mesothelioma,Meso,CER1
HumanEpidermalMelanocytes,Hema,NKX2_5
HumanEpidermalMelanocytes,Hema,TAL1
HumanEpidermalMelanocytes,Hema,SOX17
HumanEpidermalMelanocytes,Hema,CD34
HumanEpidermalMelanocytes,Hema,PECAM1
HumanEpidermalMelanocytes,Hema,CD69
HumanEpidermalMelanocytes,Hema,CXCR4
HumanEpidermalMelanocytes,Hema,CDH5
HumanEpidermalMelanocytes,Hema,KDR
HumanEpidermalMelanocytes,Hema,LMO2
PreGerm,PreGerm,TP53
PreGerm,PreGerm,NR6A1
PreGerm,PreGerm,GBX2
PreGerm,PreGerm,ZIC2
PreGerm,PreGerm,ZIC5
Cardiomycyte,Cardiac,NKX2_5
Cardiomycyte,Cardiac,GATA4
Cardiomycyte,Cardiac,MYBPC2
Cardiomycyte,Cardiac,TTN
Cardiomycyte,Cardiac,TNNT2
Cardiomycyte,Cardiac,MYH6
Cardiomycyte,Cardiac,TBX5
Somites,Somites,WT1
Somites,Somites,TBX18
Somites,Somites,TBX15
Somites,Somites,PDGFRA
Somites,Somites,SIX2
Somites,Somites,TBX5
NeuralProgenitor,NP,NES
NeuralProgenitor,NP,MAP2
NeuralProgenitor,NP,PAX6
NeuralProgenitor,NP,SOX1
NeuralProgenitor,NP,ZBTB16
NeuralProgenitor,NP,ONECUT1
NeuralProgenitor,NP,ONECUT2
NeuralProgenitor,NP,NR2F1
NeuralProgenitor,NP,ISL1
NeuralProgenitor,NP,NPAS1
NeuralProgenitor,NP,EN2
NeuralProgenitor,NP,SOX2
NeuralProgenitor,NP,NEUROD1
NeuralProgenitor,NP,ASCL1
NeuralCrest,NC,PAX3
NeuralCrest,NC,FOXD3
NeuralCrest,NC,ITGA4
NeuralCrest,NC,EDNRB
NeuralCrest,NC,SOX9
NeuralCrest,NC,SOX10
Trophoblast,TB,GATA3
Trophoblast,TB,TP63
Trophoblast,TB,ITGA6
Trophoblast,TB,CDH1
RadialGlia,RG,SOX2
RadialGlia,RG,PAX6
RadialGlia,RG,NR2E1
RadialGlia,RG,HES1
RadialGlia,RG,GFAP
RadialGlia,RG,GLI2
RadialGlia,RG,HOPX
RadialGlia,RG,NFATC2
RadialGlia,RG,GPX2
ExcitatoryNeuron,EN,NRP1
ExcitatoryNeuron,EN,SETD7
ExcitatoryNeuron,EN,EOMES
ExcitatoryNeuron,EN,NEUROD1
ExcitatoryNeuron,EN,NEUROG2
ExcitatoryNeuron,EN,NEUROD6
ExcitatoryNeuron,EN,NR4A2
InhibitoryNeuron,IN,NKX2_1
InhibitoryNeuron,IN,DLX1
InhibitoryNeuron,IN,CITED2
InhibitoryNeuron,IN,LHX6
Retina,Retina,SIX6
Retina,Retina,RDH10
Retina,Retina,RBP3
Retina,Retina,IRX5
Retina,Retina,RP1L1
Retina,Retina,AIPL1
Retina,Retina,NYX
Retina,Retina,PDE6B
Retina,Retina,NEUROG1
Retina,Retina,NEUROD4
Retina,Retina,ONECUT1
Retina,Retina,ONECUT2
Retina,Retina,TLX2
Brain,Brain,CABP1
Brain,Brain,EYA4
Brain,Brain,WNT10B
Neurons,N,TUBB3
Neurons,N,MAP2
Neurons,N,CHRNB2
Neurons,N,RSPO2
Glia,Glia,CDH23
Glia,Glia,SOX8
Glia,Glia,LMX1B
Glia,Glia,ZIC1
Glia,Glia,ZIC2
Glia,Glia,ZIC5
NonNeural,NonNeural,OPN5
NonNeural,NonNeural,BMP2
NonNeural,NonNeural,GDF7
NonNeural,NonNeural,HOXD13
NonNeural,NonNeural,DMRTC2
NonNeural,NonNeural,NKX1_2
NonNeural,NonNeural,NKX2_4
NonNeural,NonNeural,POU5F2
NonNeural,NonNeural,HOPX
NonNeural,NonNeural,LMX1A
NonNeural,NonNeural,NANOG
NonNeural,NonNeural,SIM1
NonNeural,NonNeural,SIM2
NonNeural,NonNeural,SIX4
NonNeural,NonNeural,TBX20
NonNeural,NonNeural,WNT1
NonNeural,NonNeural,WNT3
NonNeural,NonNeural,WNT3A
NonNeural,NonNeural,WNT4
NonNeural,NonNeural,WNT9A
AlveolarType1,AT1,PDPN
AlveolarType1,AT1,SEMA3A
AlveolarType1,AT1,SEMA3E
AlveolarType1,AT1,SPOCK2
AlveolarType1,AT1,RTKN2
AlveolarType1,AT1,SCNN1G
AlveolarType1,AT1,ABCA5
AlveolarType1,AT1,CYP4B1
AlveolarType1,AT1,CAV1
AlveolarType1,AT1,CPED1
AlveolarType2,AT2,SFTPC
AlveolarType2,AT2,SLC34A2
AlveolarType2,AT2,Cbr2
AlveolarType2,AT2,Lyz2
AlveolarType2,AT2,Scd1
AlveolarType2,AT2,Chil1
AlveolarType2,AT2,SFTPA1
AlveolarType2,AT2,ANK3
AlveolarType2,AT2,PPP1R14C
AlveolarType2Proliferating,AT2Pro,PBK
AlveolarType2Proliferating,AT2Pro,CDK1
AlveolarType2Proliferating,AT2Pro,CDCA8
AlveolarType2Proliferating,AT2Pro,CDCA3
AlveolarType2Proliferating,AT2Pro,PCLAF
AlveolarType2Proliferating,AT2Pro,HMMR
AlveolarType2Proliferating,AT2Pro,CCNA2
AlveolarType2Proliferating,AT2Pro,BIRC5
AlveolarType2Proliferating,AT2Pro,MKI67
AlveolarType2Proliferating,AT2Pro,KNSTRN
AlveolarType2Migrating,AT2Mig,WNT5B
AlveolarType2Migrating,AT2Mig,SPRR1A
AlveolarType2Migrating,AT2Mig,MYO1G
AlveolarType2Migrating,AT2Mig,MYOM1
AlveolarType2Migrating,AT2Mig,MYC
AlveolarType2Migrating,AT2Mig,CACNB4
AlveolarType2Migrating,AT2Mig,EDN1
AlveolarType2Migrating,AT2Mig,PHTF2
AlveolarType2Migrating,AT2Mig,TPX2
AlveolarType2Migrating,AT2Mig,DIAPH3
RadialGlia,RG,OTX1
RadialGlia,RG,SOX2
RadialGlia,RG,SOX3
RadialGlia,RG,POU6F2
RadialGlia,RG,GLI3
RadialGlia,RG,GLI2
RadialGlia,RG,SOX9
RadialGlia,RG,HES1
RadialGlia,RG,HOPX
RadialGlia,RG,ZIC2
RadialGlia,RG,ZIC5
RadialGlia,RG,NOTCH1
RadialGlia,RG,NOTCH2
RadialGlia,RG,NOTCH3
RadialGlia,RG,SALL1
RadialGlia,RG,SALL2
RadialGlia,RG,SALL3
RadialGlia,RG,NR2E1
RadialGlia,RG,TRPS1
RadialGlia,RG,YAP1
RadialGlia,RG,DMRTA2
RadialGlia,RG,ETV1
RadialGlia,RG,ETV5
RadialGlia,RG,LITAF
RadialGlia,RG,NFE2L2
RadialGlia,RG,TCF7L2
RadialGlia,RG,PLAGL1
RadialGlia,RG,REST
RadialGlia,RG,FOS
RadialGlia,RG,FOSB
RadialGlia,RG,EGR1
RadialGlia,RG,EMX2
RadialGlia,RG,EMX1
RadialGlia,RG,STAT3
RadialGlia,RG,MEIS1
RadialGlia,RG,MEIS2
RadialGlia,RG,PRDM16
RadialGlia,RG,SMAD1
RadialGlia,RG,SMAD5
RadialGlia,RG,SMAD9
RadialGlia,RG,ZBTB20
RadialGlia,RG,NFIA
RadialGlia,RG,BARD1
RadialGlia,RG,ZFP36L2
RadialGlia,RG,BBX
RadialGlia,RG,KLF6
RadialGlia,RG,TLE1
RadialGlia,RG,TLE3
RadialGlia,RG,TLE4
RadialGlia,RG,DACH1
RadialGlia,RG,PAX6
RadialGlia,RG,WDHD1
RadialGlia,RG,TP53
RadialGlia,RG,TFAP2C
RadialGlia,RG,ZFHX4
RadialGlia,RG,ASCL1
RadialGlia,RG,E2F7
RadialGlia,RG,ATAD2
RadialGlia,RG,ENC1
RadialGlia,RG,POU3F2
RadialGlia,RG,LHX2
RadialGlia,RG,ARX
RadialGlia,RG,TOX3
RadialGlia,RG,CDCA7L
RadialGlia,RG,TCF19
RadialGlia,RG,ZNF850
RadialGlia,RG,S100B
RadialGlia,RG,OLIG1
RadialGlia,RG,OLIG2
OligodendrocytePrecursor,OP,CD82
OligodendrocytePrecursor,OP,MASP1
OligodendrocytePrecursor,OP,STEAP1B
OligodendrocytePrecursor,OP,CMTM5
OligodendrocytePrecursor,OP,CDH10
OligodendrocytePrecursor,OP,SORCS1
OligodendrocytePrecursor,OP,NTRK3
OligodendrocytePrecursor,OP,ASTN2
OligodendrocytePrecursor,OP,LIFR
OligodendrocytePrecursor,OP,NLGN1
OligodendrocytePrecursor,OP,ETV5
OligodendrocytePrecursor,OP,TPK1
OligodendrocytePrecursor,OP,APOO
OligodendrocytePrecursor,OP,RORA
OligodendrocytePrecursor,OP,MYO6
OligodendrocytePrecursor,OP,MYO1E
OligodendrocytePrecursor,OP,TMPRSS5
OligodendrocytePrecursor,OP,MTHFD1L
OligodendrocytePrecursor,OP,CYBA
MuellerGlia,MG,APOE
MuellerGlia,MG,CLU
MuellerGlia,MG,GLUL
MuellerGlia,MG,FRZB
MuellerGlia,MG,HES1
MuellerGlia,MG,VIM
MuellerGlia,MG,PTRPZ1
MuellerGlia,MG,NES
MuellerGlia,MG,PCDH10
MuellerGlia,MG,PRDX6
MuellerGlia,MG,LIX1
MuellerGlia,MG,LHX2
MuellerGlia,MG,SOX9
