name,version,directory,repository,summary,from package.json,from license,from readme
@jupyterlab/application,4.0.9,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@jupyterlab/application,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,BSD-3-Clause,,
@jupyterlab/builder,4.0.9,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@jupyterlab/builder,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,BSD-3-Clause,,
@jupyterlab/cells,4.0.9,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@jupyterlab/cells,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,BSD-3-Clause,,
@jupyterlab/notebook,4.0.9,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@jupyterlab/notebook,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,BSD-3-Clause,,
@jupyterlab/testutils,4.0.9,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@jupyterlab/testutils,https://github.com/jupyterlab/jupyterlab,BSD-3-Clause,BSD-3-Clause,,
@npmcli/agent,2.2.0,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@npmcli/agent,https://github.com/npm/agent,ISC,ISC,,
@npmcli/fs,3.1.0,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@npmcli/fs,https://github.com/npm/fs,ISC;MIT,ISC,ISC;MIT,
@types/jest,29.5.10,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@types/jest,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/json-schema,7.0.15,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@types/json-schema,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/react,18.2.38,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@types/react,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@types/react-addons-linked-state-mixin,0.14.25,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@types/react-addons-linked-state-mixin,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,MIT,MIT,
@typescript-eslint/eslint-plugin,6.12.0,/Users/carlos.dominguez/go/src/github.com/DataDog/jupyterlab-freeze/node_modules/@typescript-eslint/eslint-plugin,https://github.com/typescript-eslint/typescript-eslint,MIT,MIT,MIT,
