month, day, ra, dec, radius
Jan,1,13:19:19.7,-6:58:59,5.455980
Jan,2,13:19:43.2,-7:01:06,5.456000
Jan,3,13:20:06.2,-7:03:10,5.456030
Jan,4,13:20:28.6,-7:05:09,5.456050
Jan,5,13:20:50.4,-7:07:05,5.456070
Jan,6,13:21:11.6,-7:08:58,5.456090
Jan,7,13:21:32.3,-7:10:47,5.456110
Jan,8,13:21:52.4,-7:12:32,5.456130
Jan,9,13:22:11.8,-7:14:13,5.456150
Jan,10,13:22:30.7,-7:15:51,5.456170
Jan,11,13:22:49.0,-7:17:24,5.456190
Jan,12,13:23:06.6,-7:18:54,5.456200
Jan,13,13:23:23.7,-7:20:20,5.456220
Jan,14,13:23:40.1,-7:21:43,5.456240
Jan,15,13:23:55.8,-7:23:01,5.456250
Jan,16,13:24:11.0,-7:24:15,5.456270
Jan,17,13:24:25.5,-7:25:26,5.456290
Jan,18,13:24:39.3,-7:26:32,5.456300
Jan,19,13:24:52.5,-7:27:35,5.456310
Jan,20,13:25:05.0,-7:28:33,5.456330
Jan,21,13:25:16.9,-7:29:28,5.456340
Jan,22,13:25:28.1,-7:30:18,5.456350
Jan,23,13:25:38.6,-7:31:05,5.456370
Jan,24,13:25:48.4,-7:31:47,5.456380
Jan,25,13:25:57.6,-7:32:25,5.456390
Jan,26,13:26:06.0,-7:32:59,5.456400
Jan,27,13:26:13.8,-7:33:29,5.456410
Jan,28,13:26:20.9,-7:33:55,5.456420
Jan,29,13:26:27.2,-7:34:16,5.456430
Jan,30,13:26:32.9,-7:34:33,5.456440
Jan,31,13:26:37.8,-7:34:47,5.456450
Feb,1,13:26:42.1,-7:34:55,5.456460
Feb,2,13:26:45.6,-7:35:00,5.456460
Feb,3,13:26:48.4,-7:35:01,5.456470
Feb,4,13:26:50.5,-7:34:57,5.456480
Feb,5,13:26:51.9,-7:34:49,5.456480
Feb,6,13:26:52.6,-7:34:37,5.456490
Feb,7,13:26:52.6,-7:34:21,5.456490
Feb,8,13:26:51.9,-7:34:01,5.456500
Feb,9,13:26:50.4,-7:33:37,5.456500
Feb,10,13:26:48.3,-7:33:08,5.456510
Feb,11,13:26:45.4,-7:32:35,5.456510
Feb,12,13:26:41.8,-7:31:58,5.456510
Feb,13,13:26:37.6,-7:31:18,5.456510
Feb,14,13:26:32.6,-7:30:33,5.456520
Feb,15,13:26:26.9,-7:29:43,5.456520
Feb,16,13:26:20.5,-7:28:50,5.456520
Feb,17,13:26:13.4,-7:27:53,5.456520
Feb,18,13:26:05.6,-7:26:52,5.456520
Feb,19,13:25:57.1,-7:25:47,5.456520
Feb,20,13:25:47.9,-7:24:37,5.456520
Feb,21,13:25:38.1,-7:23:24,5.456510
Feb,22,13:25:27.5,-7:22:07,5.456510
Feb,23,13:25:16.3,-7:20:46,5.456510
Feb,24,13:25:04.4,-7:19:22,5.456510
Feb,25,13:24:51.8,-7:17:53,5.456500
Feb,26,13:24:38.6,-7:16:21,5.456500
Feb,27,13:24:24.7,-7:14:45,5.456490
Feb,28,13:24:10.2,-7:13:05,5.456490
Mar,1,13:23:55.0,-7:11:22,5.456480
Mar,2,13:23:39.2,-7:09:35,5.456480
Mar,3,13:23:22.8,-7:07:45,5.456470
