month, day, ra, dec, radius
Jan,1,21:55:22.2,-13:38:10,5.003300
Jan,2,21:56:09.3,-13:33:58,5.003060
Jan,3,21:56:56.7,-13:29:44,5.002830
Jan,4,21:57:44.4,-13:25:27,5.002590
Jan,5,21:58:32.4,-13:21:09,5.002350
Jan,6,21:59:20.7,-13:16:48,5.002120
Jan,7,22:00:09.3,-13:12:26,5.001880
Jan,8,22:00:58.1,-13:08:01,5.001640
Jan,9,22:01:47.1,-13:03:35,5.001410
Jan,10,22:02:36.4,-12:59:06,5.001180
Jan,11,22:03:26.0,-12:54:36,5.000940
Jan,12,22:04:15.8,-12:50:04,5.000710
Jan,13,22:05:05.8,-12:45:30,5.000470
Jan,14,22:05:56.1,-12:40:54,5.000240
Jan,15,22:06:46.5,-12:36:16,5.000010
Jan,16,22:07:37.2,-12:31:37,4.999780
Jan,17,22:08:28.1,-12:26:55,4.999550
Jan,18,22:09:19.2,-12:22:13,4.999320
Jan,19,22:10:10.5,-12:17:28,4.999090
Jan,20,22:11:02.0,-12:12:42,4.998860
Jan,21,22:11:53.6,-12:07:54,4.998630
Jan,22,22:12:45.4,-12:03:05,4.998400
Jan,23,22:13:37.4,-11:58:14,4.998170
Jan,24,22:14:29.5,-11:53:22,4.997940
Jan,25,22:15:21.8,-11:48:28,4.997710
Jan,26,22:16:14.3,-11:43:33,4.997490
Jan,27,22:17:06.8,-11:38:36,4.997260
Jan,28,22:17:59.5,-11:33:38,4.997030
Jan,29,22:18:52.4,-11:28:39,4.996810
Jan,30,22:19:45.4,-11:23:38,4.996580
Jan,31,22:20:38.4,-11:18:36,4.996360
Feb,1,22:21:31.6,-11:13:33,4.996130
Feb,2,22:22:25.0,-11:08:29,4.995910
Feb,3,22:23:18.4,-11:03:23,4.995680
Feb,4,22:24:11.9,-10:58:16,4.995460
Feb,5,22:25:05.5,-10:53:08,4.995240
Feb,6,22:25:59.3,-10:47:59,4.995020
Feb,7,22:26:53.1,-10:42:49,4.994790
Feb,8,22:27:46.9,-10:37:37,4.994570
Feb,9,22:28:40.9,-10:32:25,4.994350
Feb,10,22:29:34.9,-10:27:12,4.994130
Feb,11,22:30:29.0,-10:21:58,4.993910
Feb,12,22:31:23.2,-10:16:42,4.993690
Feb,13,22:32:17.4,-10:11:26,4.993470
Feb,14,22:33:11.7,-10:06:09,4.993260
Feb,15,22:34:06.0,-10:00:52,4.993040
Feb,16,22:35:00.4,-9:55:33,4.992820
Feb,17,22:35:54.8,-9:50:14,4.992600
Feb,18,22:36:49.2,-9:44:54,4.992390
Feb,19,22:37:43.6,-9:39:33,4.992170
Feb,20,22:38:38.1,-9:34:12,4.991960
Feb,21,22:39:32.5,-9:28:50,4.991740
Feb,22,22:40:27.0,-9:23:28,4.991530
Feb,23,22:41:21.5,-9:18:05,4.991310
Feb,24,22:42:15.9,-9:12:42,4.991100
Feb,25,22:43:10.4,-9:07:18,4.990880
Feb,26,22:44:04.9,-9:01:53,4.990670
Feb,27,22:44:59.3,-8:56:29,4.990460
Feb,28,22:45:53.7,-8:51:04,4.990250
Mar,1,22:46:48.1,-8:45:38,4.990040
Mar,2,22:47:42.5,-8:40:13,4.989830
Mar,3,22:48:36.8,-8:34:47,4.989620
Mar,4,22:49:31.1,-8:29:21,4.989410
Mar,5,22:50:25.4,-8:23:54,4.989200
Mar,6,22:51:19.6,-8:18:28,4.988990
Mar,7,22:52:13.8,-8:13:01,4.988780
Mar,8,22:53:08.0,-8:07:34,4.988570
Mar,9,22:54:02.0,-8:02:07,4.988360
Mar,10,22:54:56.1,-7:56:40,4.988160
Mar,11,22:55:50.0,-7:51:13,4.987950
Mar,12,22:56:43.9,-7:45:46,4.987740
Mar,13,22:57:37.7,-7:40:19,4.987540
Mar,14,22:58:31.4,-7:34:52,4.987330
Mar,15,22:59:25.1,-7:29:26,4.987130
Mar,16,23:00:18.6,-7:23:59,4.986920
Mar,17,23:01:12.1,-7:18:33,4.986720
Mar,18,23:02:05.5,-7:13:07,4.986520
Mar,19,23:02:58.7,-7:07:42,4.986320
Mar,20,23:03:51.9,-7:02:16,4.986110
Mar,21,23:04:44.9,-6:56:51,4.985910
Mar,22,23:05:37.9,-6:51:27,4.985710
Mar,23,23:06:30.7,-6:46:03,4.985510
Mar,24,23:07:23.3,-6:40:40,4.985310
Mar,25,23:08:15.9,-6:35:17,4.985110
Mar,26,23:09:08.3,-6:29:54,4.984910
Mar,27,23:10:00.6,-6:24:33,4.984710
Mar,28,23:10:52.7,-6:19:12,4.984510
Mar,29,23:11:44.7,-6:13:51,4.984320
Mar,30,23:12:36.5,-6:08:31,4.984120
Mar,31,23:13:28.2,-6:03:12,4.983920
Apr,1,23:14:19.7,-5:57:54,4.983730
Apr,2,23:15:11.1,-5:52:36,4.983530
Apr,3,23:16:02.3,-5:47:20,4.983340
Apr,4,23:16:53.4,-5:42:04,4.983140
Apr,5,23:17:44.2,-5:36:49,4.982950
Apr,6,23:18:34.9,-5:31:35,4.982750
Apr,7,23:19:25.4,-5:26:22,4.982560
Apr,8,23:20:15.8,-5:21:10,4.982370
Apr,9,23:21:05.9,-5:15:59,4.982170
Apr,10,23:21:55.8,-5:10:49,4.981980
Apr,11,23:22:45.6,-5:05:40,4.981790
Apr,12,23:23:35.1,-5:00:33,4.981600
Apr,13,23:24:24.4,-4:55:27,4.981410
Apr,14,23:25:13.5,-4:50:22,4.981220
Apr,15,23:26:02.4,-4:45:18,4.981030
Apr,16,23:26:51.1,-4:40:16,4.980840
Apr,17,23:27:39.5,-4:35:15,4.980660
Apr,18,23:28:27.7,-4:30:15,4.980470
Apr,19,23:29:15.7,-4:25:17,4.980280
Apr,20,23:30:03.4,-4:20:20,4.980090
Apr,21,23:30:50.8,-4:15:25,4.979910
Apr,22,23:31:38.0,-4:10:32,4.979720
Apr,23,23:32:25.0,-4:05:40,4.979540
Apr,24,23:33:11.6,-4:00:50,4.979350
Apr,25,23:33:58.0,-3:56:02,4.979170
Apr,26,23:34:44.2,-3:51:15,4.978980
Apr,27,23:35:30.0,-3:46:30,4.978800
Apr,28,23:36:15.6,-3:41:47,4.978620
Apr,29,23:37:00.9,-3:37:05,4.978440
Apr,30,23:37:45.9,-3:32:26,4.978250
May,1,23:38:30.7,-3:27:48,4.978070
May,2,23:39:15.1,-3:23:12,4.977890
May,3,23:39:59.2,-3:18:38,4.977710
May,4,23:40:43.0,-3:14:07,4.977530
May,5,23:41:26.5,-3:09:37,4.977350
May,6,23:42:09.7,-3:05:09,4.977180
May,7,23:42:52.6,-3:00:44,4.977000
May,8,23:43:35.1,-2:56:20,4.976820
May,9,23:44:17.3,-2:51:59,4.976640
May,10,23:44:59.2,-2:47:40,4.976470
May,11,23:45:40.7,-2:43:24,4.976290
May,12,23:46:21.8,-2:39:10,4.976120
May,13,23:47:02.6,-2:34:58,4.975940
May,14,23:47:43.1,-2:30:49,4.975770
May,15,23:48:23.1,-2:26:42,4.975590
May,16,23:49:02.8,-2:22:38,4.975420
May,17,23:49:42.1,-2:18:36,4.975250
May,18,23:50:21.0,-2:14:37,4.975070
May,19,23:50:59.5,-2:10:41,4.974900
May,20,23:51:37.6,-2:06:47,4.974730
May,21,23:52:15.4,-2:02:56,4.974560
May,22,23:52:52.7,-1:59:08,4.974390
May,23,23:53:29.6,-1:55:22,4.974220
May,24,23:54:06.0,-1:51:39,4.974050
May,25,23:54:42.1,-1:48:00,4.973880
May,26,23:55:17.7,-1:44:23,4.973710
May,27,23:55:52.9,-1:40:49,4.973550
May,28,23:56:27.6,-1:37:18,4.973380
May,29,23:57:02.0,-1:33:50,4.973210
May,30,23:57:35.8,-1:30:25,4.973050
May,31,23:58:09.2,-1:27:03,4.972880
Jun,1,23:58:42.1,-1:23:44,4.972720
Jun,2,23:59:14.6,-1:20:29,4.972550
Jun,3,23:59:46.6,-1:17:16,4.972390
Jun,4,0:00:18.1,-1:14:07,4.972220
Jun,5,0:00:49.2,-1:11:01,4.972060
Jun,6,0:01:19.7,-1:07:59,4.971900
Jun,7,0:01:49.7,-1:05:00,4.971740
Jun,8,0:02:19.2,-1:02:04,4.971570
Jun,9,0:02:48.2,-0:59:12,4.971410
Jun,10,0:03:16.7,-0:56:24,4.971250
Jun,11,0:03:44.7,-0:53:39,4.971090
Jun,12,0:04:12.1,-0:50:57,4.970930
Jun,13,0:04:39.0,-0:48:20,4.970780
Jun,14,0:05:05.3,-0:45:46,4.970620
Jun,15,0:05:31.1,-0:43:15,4.970460
Jun,16,0:05:56.3,-0:40:49,4.970300
Jun,17,0:06:21.0,-0:38:26,4.970150
Jun,18,0:06:45.0,-0:36:07,4.969990
Jun,19,0:07:08.6,-0:33:52,4.969830
Jun,20,0:07:31.5,-0:31:41,4.969680
Jun,21,0:07:53.8,-0:29:34,4.969530
Jun,22,0:08:15.6,-0:27:31,4.969370
Jun,23,0:08:36.7,-0:25:31,4.969220
Jun,24,0:08:57.3,-0:23:36,4.969060
Jun,25,0:09:17.2,-0:21:45,4.968910
Jun,26,0:09:36.5,-0:19:58,4.968760
Jun,27,0:09:55.3,-0:18:15,4.968610
Jun,28,0:10:13.4,-0:16:36,4.968460
Jun,29,0:10:30.8,-0:15:01,4.968310
Jun,30,0:10:47.7,-0:13:31,4.968160
Jul,1,0:11:03.8,-0:12:04,4.968010
Jul,2,0:11:19.4,-0:10:42,4.967860
Jul,3,0:11:34.3,-0:09:25,4.967710
Jul,4,0:11:48.5,-0:08:12,4.967570
Jul,5,0:12:02.1,-0:07:03,4.967420
Jul,6,0:12:15.0,-0:05:58,4.967270
Jul,7,0:12:27.2,-0:04:58,4.967130
Jul,8,0:12:38.8,-0:04:03,4.966980
Jul,9,0:12:49.6,-0:03:12,4.966840
Jul,10,0:12:59.8,-0:02:25,4.966690
Jul,11,0:13:09.3,-0:01:43,4.966550
Jul,12,0:13:18.1,-0:01:06,4.966410
Jul,13,0:13:26.2,-0:00:33,4.966260
Jul,14,0:13:33.5,-0:00:05,4.966120
Jul,15,0:13:40.2,+0:00:19,4.965980
Jul,16,0:13:46.2,+0:00:38,4.965840
Jul,17,0:13:51.4,+0:00:52,4.965700
Jul,18,0:13:55.9,+0:01:02,4.965560
Jul,19,0:13:59.8,+0:01:07,4.965420
Jul,20,0:14:02.9,+0:01:07,4.965280
Jul,21,0:14:05.3,+0:01:03,4.965140
Jul,22,0:14:06.9,+0:00:54,4.965000
Jul,23,0:14:07.9,+0:00:41,4.964870
Jul,24,0:14:08.1,+0:00:23,4.964730
Jul,25,0:14:07.6,+0:00:00,4.964590
Jul,26,0:14:06.4,-0:00:27,4.964460
Jul,27,0:14:04.5,-0:00:59,4.964320
Jul,28,0:14:01.9,-0:01:36,4.964190
Jul,29,0:13:58.5,-0:02:17,4.964050
