month, day, ra, dec, radius
Jan,1,22:10:57.1,-12:17:46,4.992690
Jan,2,22:11:42.1,-12:13:32,4.992480
Jan,3,22:12:27.5,-12:09:15,4.992270
Jan,4,22:13:13.2,-12:04:56,4.992060
Jan,5,22:13:59.3,-12:00:35,4.991850
Jan,6,22:14:45.6,-11:56:11,4.991640
Jan,7,22:15:32.2,-11:51:46,4.991440
Jan,8,22:16:19.2,-11:47:18,4.991230
Jan,9,22:17:06.4,-11:42:48,4.991020
Jan,10,22:17:53.8,-11:38:16,4.990820
Jan,11,22:18:41.6,-11:33:43,4.990610
Jan,12,22:19:29.6,-11:29:07,4.990410
Jan,13,22:20:17.9,-11:24:29,4.990200
Jan,14,22:21:06.4,-11:19:50,4.990000
Jan,15,22:21:55.2,-11:15:08,4.989800
Jan,16,22:22:44.2,-11:10:25,4.989590
Jan,17,22:23:33.4,-11:05:40,4.989390
Jan,18,22:24:22.9,-11:00:53,4.989190
Jan,19,22:25:12.6,-10:56:04,4.988990
Jan,20,22:26:02.5,-10:51:14,4.988790
Jan,21,22:26:52.6,-10:46:22,4.988590
Jan,22,22:27:42.9,-10:41:28,4.988390
Jan,23,22:28:33.4,-10:36:33,4.988190
Jan,24,22:29:24.2,-10:31:36,4.987990
Jan,25,22:30:15.0,-10:26:37,4.987790
Jan,26,22:31:06.1,-10:21:37,4.987590
Jan,27,22:31:57.4,-10:16:35,4.987390
Jan,28,22:32:48.8,-10:11:32,4.987200
Jan,29,22:33:40.4,-10:06:27,4.987000
Jan,30,22:34:32.2,-10:01:21,4.986800
Jan,31,22:35:24.1,-9:56:14,4.986610
Feb,1,22:36:16.2,-9:51:05,4.986410
Feb,2,22:37:08.4,-9:45:55,4.986220
Feb,3,22:38:00.7,-9:40:44,4.986020
Feb,4,22:38:53.2,-9:35:31,4.985830
Feb,5,22:39:45.8,-9:30:17,4.985640
Feb,6,22:40:38.5,-9:25:02,4.985440
Feb,7,22:41:31.3,-9:19:46,4.985250
Feb,8,22:42:24.2,-9:14:28,4.985060
Feb,9,22:43:17.3,-9:09:10,4.984870
Feb,10,22:44:10.4,-9:03:51,4.984680
Feb,11,22:45:03.6,-8:58:30,4.984490
Feb,12,22:45:56.9,-8:53:09,4.984300
Feb,13,22:46:50.3,-8:47:47,4.984110
Feb,14,22:47:43.7,-8:42:23,4.983920
