month, day, ra, dec, radius
Jan,1,11:36:01.3,+3:56:39,5.415930
Jan,2,11:36:06.2,+3:56:25,5.416120
Jan,3,11:36:10.5,+3:56:16,5.416310
Jan,4,11:36:14.0,+3:56:12,5.416500
Jan,5,11:36:16.9,+3:56:12,5.416700
Jan,6,11:36:19.0,+3:56:16,5.416890
Jan,7,11:36:20.4,+3:56:25,5.417080
Jan,8,11:36:21.1,+3:56:39,5.417270
Jan,9,11:36:21.1,+3:56:58,5.417450
Jan,10,11:36:20.3,+3:57:21,5.417640
Jan,11,11:36:18.9,+3:57:48,5.417830
Jan,12,11:36:16.7,+3:58:20,5.418020
Jan,13,11:36:13.8,+3:58:57,5.418210
Jan,14,11:36:10.2,+3:59:38,5.418390
Jan,15,11:36:05.9,+4:00:24,5.418580
Jan,16,11:36:00.9,+4:01:14,5.418770
Jan,17,11:35:55.2,+4:02:09,5.418950
Jan,18,11:35:48.8,+4:03:08,5.419140
Jan,19,11:35:41.7,+4:04:12,5.419320
Jan,20,11:35:33.8,+4:05:20,5.419510
Jan,21,11:35:25.3,+4:06:32,5.419690
Jan,22,11:35:16.1,+4:07:49,5.419870
Jan,23,11:35:06.3,+4:09:10,5.420060
Jan,24,11:34:55.7,+4:10:35,5.420240
Jan,25,11:34:44.5,+4:12:04,5.420420
Jan,26,11:34:32.6,+4:13:38,5.420600
Jan,27,11:34:20.0,+4:15:16,5.420780
Jan,28,11:34:06.8,+4:16:57,5.420960
Jan,29,11:33:52.9,+4:18:43,5.421150
Jan,30,11:33:38.4,+4:20:33,5.421330
Jan,31,11:33:23.3,+4:22:26,5.421500
Feb,1,11:33:07.5,+4:24:23,5.421680
Feb,2,11:32:51.1,+4:26:25,5.421860
Feb,3,11:32:34.1,+4:28:29,5.422040
Feb,4,11:32:16.4,+4:30:38,5.422220
Feb,5,11:31:58.2,+4:32:50,5.422400
Feb,6,11:31:39.4,+4:35:05,5.422570
Feb,7,11:31:20.1,+4:37:24,5.422750
Feb,8,11:31:00.2,+4:39:46,5.422930
Feb,9,11:30:39.7,+4:42:11,5.423100
Feb,10,11:30:18.7,+4:44:40,5.423280
Feb,11,11:29:57.2,+4:47:11,5.423450
Feb,12,11:29:35.2,+4:49:45,5.423630
Feb,13,11:29:12.7,+4:52:22,5.423800
Feb,14,11:28:49.8,+4:55:02,5.423970
Feb,15,11:28:26.3,+4:57:44,5.424150
Feb,16,11:28:02.5,+5:00:28,5.424320
Feb,17,11:27:38.2,+5:03:15,5.424490
