month, day, ra, dec, radius
Jan,1,18:12:56.7,-23:14:10,5.247580
Jan,2,18:13:56.4,-23:13:56,5.247220
Jan,3,18:14:56.1,-23:13:41,5.246860
Jan,4,18:15:55.6,-23:13:24,5.246500
Jan,5,18:16:55.2,-23:13:06,5.246140
Jan,6,18:17:54.6,-23:12:47,5.245780
Jan,7,18:18:54.0,-23:12:26,5.245420
Jan,8,18:19:53.3,-23:12:04,5.245060
Jan,9,18:20:52.5,-23:11:40,5.244700
Jan,10,18:21:51.5,-23:11:15,5.244340
Jan,11,18:22:50.5,-23:10:49,5.243980
Jan,12,18:23:49.4,-23:10:21,5.243620
Jan,13,18:24:48.1,-23:09:53,5.243250
Jan,14,18:25:46.8,-23:09:22,5.242890
Jan,15,18:26:45.2,-23:08:51,5.242530
Jan,16,18:27:43.6,-23:08:18,5.242170
Jan,17,18:28:41.8,-23:07:44,5.241810
Jan,18,18:29:39.8,-23:07:09,5.241450
Jan,19,18:30:37.7,-23:06:32,5.241080
Jan,20,18:31:35.4,-23:05:54,5.240720
Jan,21,18:32:33.0,-23:05:16,5.240360
Jan,22,18:33:30.4,-23:04:35,5.240000
Jan,23,18:34:27.6,-23:03:54,5.239640
Jan,24,18:35:24.6,-23:03:12,5.239270
Jan,25,18:36:21.4,-23:02:28,5.238910
Jan,26,18:37:18.0,-23:01:44,5.238550
Jan,27,18:38:14.4,-23:00:58,5.238180
Jan,28,18:39:10.6,-23:00:11,5.237820
Jan,29,18:40:06.6,-22:59:23,5.237460
Jan,30,18:41:02.4,-22:58:34,5.237100
Jan,31,18:41:57.9,-22:57:44,5.236730
Feb,1,18:42:53.2,-22:56:53,5.236370
Feb,2,18:43:48.3,-22:56:02,5.236010
Feb,3,18:44:43.1,-22:55:09,5.235640
Feb,4,18:45:37.6,-22:54:15,5.235280
Feb,5,18:46:31.9,-22:53:21,5.234920
Feb,6,18:47:25.9,-22:52:25,5.234550
Feb,7,18:48:19.6,-22:51:29,5.234190
Feb,8,18:49:13.1,-22:50:32,5.233820
Feb,9,18:50:06.2,-22:49:34,5.233460
Feb,10,18:50:59.1,-22:48:35,5.233100
Feb,11,18:51:51.6,-22:47:36,5.232730
Feb,12,18:52:43.8,-22:46:36,5.232370
Feb,13,18:53:35.7,-22:45:35,5.232000
Feb,14,18:54:27.3,-22:44:34,5.231640
Feb,15,18:55:18.5,-22:43:32,5.231270
Feb,16,18:56:09.4,-22:42:29,5.230910
Feb,17,18:57:00.0,-22:41:26,5.230540
Feb,18,18:57:50.2,-22:40:23,5.230180
Feb,19,18:58:40.0,-22:39:19,5.229810
Feb,20,18:59:29.5,-22:38:14,5.229450
Feb,21,19:00:18.6,-22:37:10,5.229080
Feb,22,19:01:07.4,-22:36:04,5.228720
Feb,23,19:01:55.7,-22:34:59,5.228350
Feb,24,19:02:43.7,-22:33:53,5.227990
Feb,25,19:03:31.3,-22:32:46,5.227620
Feb,26,19:04:18.5,-22:31:40,5.227260
Feb,27,19:05:05.2,-22:30:33,5.226890
Feb,28,19:05:51.6,-22:29:26,5.226530
Feb,29,19:06:37.5,-22:28:19,5.226160
Mar,1,19:07:23.0,-22:27:11,5.225800
Mar,2,19:08:08.1,-22:26:04,5.225430
Mar,3,19:08:52.7,-22:24:57,5.225060
Mar,4,19:09:36.9,-22:23:49,5.224700
Mar,5,19:10:20.6,-22:22:42,5.224330
Mar,6,19:11:03.9,-22:21:34,5.223970
Mar,7,19:11:46.7,-22:20:27,5.223600
Mar,8,19:12:29.0,-22:19:20,5.223230
Mar,9,19:13:10.8,-22:18:13,5.222870
Mar,10,19:13:52.1,-22:17:06,5.222500
Mar,11,19:14:32.9,-22:15:59,5.222130
Mar,12,19:15:13.2,-22:14:53,5.221770
Mar,13,19:15:53.0,-22:13:47,5.221400
Mar,14,19:16:32.2,-22:12:42,5.221030
Mar,15,19:17:11.0,-22:11:36,5.220670
Mar,16,19:17:49.2,-22:10:32,5.220300
Mar,17,19:18:26.8,-22:09:27,5.219930
Mar,18,19:19:04.0,-22:08:24,5.219570
Mar,19,19:19:40.5,-22:07:20,5.219200
Mar,20,19:20:16.5,-22:06:18,5.218830
Mar,21,19:20:52.0,-22:05:16,5.218470
Mar,22,19:21:26.9,-22:04:14,5.218100
Mar,23,19:22:01.2,-22:03:13,5.217730
Mar,24,19:22:34.9,-22:02:13,5.217360
Mar,25,19:23:08.0,-22:01:14,5.217000
Mar,26,19:23:40.6,-22:00:16,5.216630
Mar,27,19:24:12.5,-21:59:18,5.216260
Mar,28,19:24:43.8,-21:58:21,5.215890
Mar,29,19:25:14.5,-21:57:25,5.215530
Mar,30,19:25:44.6,-21:56:30,5.215160
Mar,31,19:26:14.1,-21:55:36,5.214790
Apr,1,19:26:42.9,-21:54:43,5.214420
Apr,2,19:27:11.1,-21:53:51,5.214060
Apr,3,19:27:38.6,-21:53:00,5.213690
