month, day, ra, dec, radius
Jan,1,0:05:23.3,-0:49:03,4.951120
Jan,2,0:05:49.9,-0:45:53,4.951110
Jan,3,0:06:17.2,-0:42:41,4.951100
Jan,4,0:06:45.0,-0:39:24,4.951090
Jan,5,0:07:13.3,-0:36:04,4.951080
Jan,6,0:07:42.2,-0:32:41,4.951070
Jan,7,0:08:11.7,-0:29:14,4.951060
Jan,8,0:08:41.7,-0:25:44,4.951050
Jan,9,0:09:12.2,-0:22:10,4.951050
Jan,10,0:09:43.3,-0:18:34,4.951040
Jan,11,0:10:14.9,-0:14:54,4.951030
Jan,12,0:10:47.0,-0:11:10,4.951030
Jan,13,0:11:19.7,-0:07:24,4.951020
Jan,14,0:11:52.8,-0:03:34,4.951020
Jan,15,0:12:26.4,+0:00:18,4.951020
Jan,16,0:13:00.6,+0:04:14,4.951010
Jan,17,0:13:35.2,+0:08:12,4.951010
Jan,18,0:14:10.3,+0:12:14,4.951010
Jan,19,0:14:45.8,+0:16:18,4.951010
Jan,20,0:15:21.9,+0:20:25,4.951010
Jan,21,0:15:58.4,+0:24:35,4.951010
Jan,22,0:16:35.3,+0:28:48,4.951010
Jan,23,0:17:12.7,+0:33:03,4.951010
Jan,24,0:17:50.6,+0:37:21,4.951010
Jan,25,0:18:28.8,+0:41:42,4.951020
Jan,26,0:19:07.5,+0:46:05,4.951020
Jan,27,0:19:46.6,+0:50:31,4.951020
Jan,28,0:20:26.1,+0:54:59,4.951030
Jan,29,0:21:06.0,+0:59:29,4.951030
Jan,30,0:21:46.3,+1:04:02,4.951040
Jan,31,0:22:27.0,+1:08:37,4.951040
Feb,1,0:23:08.1,+1:13:14,4.951050
Feb,2,0:23:49.5,+1:17:53,4.951060
Feb,3,0:24:31.3,+1:22:34,4.951060
Feb,4,0:25:13.5,+1:27:18,4.951070
Feb,5,0:25:56.0,+1:32:03,4.951080
Feb,6,0:26:38.9,+1:36:50,4.951090
Feb,7,0:27:22.1,+1:41:40,4.951100
Feb,8,0:28:05.7,+1:46:31,4.951110
Feb,9,0:28:49.6,+1:51:24,4.951120
Feb,10,0:29:33.8,+1:56:18,4.951130
Feb,11,0:30:18.3,+2:01:15,4.951150
Feb,12,0:31:03.1,+2:06:13,4.951160
Feb,13,0:31:48.3,+2:11:13,4.951170
Feb,14,0:32:33.7,+2:16:15,4.951190
Feb,15,0:33:19.5,+2:21:18,4.951200
Feb,16,0:34:05.5,+2:26:22,4.951220
Feb,17,0:34:51.9,+2:31:28,4.951230
Feb,18,0:35:38.5,+2:36:36,4.951250
Feb,19,0:36:25.4,+2:41:45,4.951270
Feb,20,0:37:12.5,+2:46:55,4.951290
Feb,21,0:38:00.0,+2:52:07,4.951300
Feb,22,0:38:47.6,+2:57:20,4.951320
Feb,23,0:39:35.6,+3:02:34,4.951340
Feb,24,0:40:23.8,+3:07:50,4.951360
Feb,25,0:41:12.2,+3:13:06,4.951380
Feb,26,0:42:00.8,+3:18:24,4.951400
