month, day, ra, dec, radius
Jan,1,4:23:32.3,+20:52:22,5.063650
Jan,2,4:23:08.8,+20:51:41,5.063970
Jan,3,4:22:46.0,+20:51:01,5.064290
Jan,4,4:22:23.8,+20:50:23,5.064610
Jan,5,4:22:02.4,+20:49:46,5.064930
Jan,6,4:21:41.7,+20:49:11,5.065250
Jan,7,4:21:21.7,+20:48:38,5.065560
Jan,8,4:21:02.5,+20:48:06,5.065880
Jan,9,4:20:44.1,+20:47:37,5.066200
Jan,10,4:20:26.5,+20:47:09,5.066520
Jan,11,4:20:09.6,+20:46:42,5.066840
Jan,12,4:19:53.6,+20:46:18,5.067160
Jan,13,4:19:38.4,+20:45:56,5.067480
Jan,14,4:19:23.9,+20:45:35,5.067810
Jan,15,4:19:10.4,+20:45:17,5.068130
Jan,16,4:18:57.6,+20:45:00,5.068450
Jan,17,4:18:45.7,+20:44:45,5.068770
Jan,18,4:18:34.6,+20:44:33,5.069090
Jan,19,4:18:24.4,+20:44:22,5.069410
Jan,20,4:18:15.1,+20:44:14,5.069740
Jan,21,4:18:06.6,+20:44:07,5.070060
Jan,22,4:17:58.9,+20:44:03,5.070380
Jan,23,4:17:52.1,+20:44:01,5.070710
Jan,24,4:17:46.2,+20:44:00,5.071030
Jan,25,4:17:41.2,+20:44:02,5.071350
Jan,26,4:17:37.0,+20:44:06,5.071680
Jan,27,4:17:33.6,+20:44:12,5.072000
Jan,28,4:17:31.2,+20:44:20,5.072330
Jan,29,4:17:29.6,+20:44:31,5.072650
Jan,30,4:17:28.8,+20:44:43,5.072980
Jan,31,4:17:28.9,+20:44:58,5.073300
Feb,1,4:17:29.9,+20:45:14,5.073630
Feb,2,4:17:31.7,+20:45:33,5.073960
Feb,3,4:17:34.4,+20:45:53,5.074280
Feb,4,4:17:38.0,+20:46:16,5.074610
Feb,5,4:17:42.4,+20:46:41,5.074940
Feb,6,4:17:47.6,+20:47:08,5.075260
Feb,7,4:17:53.7,+20:47:36,5.075590
Feb,8,4:18:00.7,+20:48:07,5.075920
Feb,9,4:18:08.5,+20:48:40,5.076250
Feb,10,4:18:17.1,+20:49:15,5.076580
Feb,11,4:18:26.6,+20:49:51,5.076900
Feb,12,4:18:36.9,+20:50:30,5.077230
Feb,13,4:18:48.1,+20:51:11,5.077560
Feb,14,4:19:00.0,+20:51:53,5.077890
Feb,15,4:19:12.8,+20:52:37,5.078220
Feb,16,4:19:26.4,+20:53:23,5.078550
Feb,17,4:19:40.8,+20:54:11,5.078880
Feb,18,4:19:56.0,+20:55:00,5.079210
Feb,19,4:20:12.0,+20:55:52,5.079540
Feb,20,4:20:28.8,+20:56:45,5.079870
Feb,21,4:20:46.3,+20:57:39,5.080200
Feb,22,4:21:04.6,+20:58:36,5.080530
Feb,23,4:21:23.7,+20:59:33,5.080870
Feb,24,4:21:43.5,+21:00:33,5.081200
Feb,25,4:22:04.1,+21:01:34,5.081530
Feb,26,4:22:25.4,+21:02:36,5.081860
Feb,27,4:22:47.5,+21:03:40,5.082190
Feb,28,4:23:10.3,+21:04:45,5.082530
Mar,1,4:23:33.7,+21:05:52,5.082860
Mar,2,4:23:57.9,+21:07:00,5.083190
Mar,3,4:24:22.9,+21:08:09,5.083530
Mar,4,4:24:48.5,+21:09:20,5.083860
Mar,5,4:25:14.8,+21:10:32,5.084190
Mar,6,4:25:41.8,+21:11:44,5.084530
Mar,7,4:26:09.4,+21:12:59,5.084860
Mar,8,4:26:37.8,+21:14:14,5.085200
Mar,9,4:27:06.8,+21:15:30,5.085530
Mar,10,4:27:36.4,+21:16:47,5.085870
Mar,11,4:28:06.7,+21:18:06,5.086200
Mar,12,4:28:37.7,+21:19:25,5.086540
Mar,13,4:29:09.3,+21:20:45,5.086870
Mar,14,4:29:41.5,+21:22:06,5.087210
Mar,15,4:30:14.4,+21:23:28,5.087550
Mar,16,4:30:47.8,+21:24:51,5.087880
Mar,17,4:31:21.9,+21:26:14,5.088220
Mar,18,4:31:56.5,+21:27:38,5.088560
Mar,19,4:32:31.7,+21:29:03,5.088890
Mar,20,4:33:07.5,+21:30:28,5.089230
Mar,21,4:33:43.9,+21:31:54,5.089570
Mar,22,4:34:20.8,+21:33:21,5.089910
Mar,23,4:34:58.3,+21:34:48,5.090250
Mar,24,4:35:36.3,+21:36:15,5.090580
Mar,25,4:36:14.9,+21:37:43,5.090920
Mar,26,4:36:54.0,+21:39:11,5.091260
Mar,27,4:37:33.6,+21:40:40,5.091600
Mar,28,4:38:13.7,+21:42:09,5.091940
Mar,29,4:38:54.3,+21:43:38,5.092280
Mar,30,4:39:35.4,+21:45:07,5.092620
Mar,31,4:40:17.0,+21:46:37,5.092960
Apr,1,4:40:59.1,+21:48:07,5.093300
Apr,2,4:41:41.7,+21:49:36,5.093640
Apr,3,4:42:24.7,+21:51:06,5.093980
Apr,4,4:43:08.2,+21:52:36,5.094320
Apr,5,4:43:52.2,+21:54:06,5.094660
Apr,6,4:44:36.6,+21:55:36,5.095000
Apr,7,4:45:21.4,+21:57:06,5.095340
Apr,8,4:46:06.7,+21:58:36,5.095690
Apr,9,4:46:52.5,+22:00:05,5.096030
Apr,10,4:47:38.6,+22:01:35,5.096370
Apr,11,4:48:25.2,+22:03:04,5.096710
Apr,12,4:49:12.1,+22:04:33,5.097050
Apr,13,4:49:59.5,+22:06:02,5.097400
Apr,14,4:50:47.3,+22:07:30,5.097740
Apr,15,4:51:35.4,+22:08:58,5.098080
Apr,16,4:52:23.9,+22:10:26,5.098430
Apr,17,4:53:12.8,+22:11:53,5.098770
Apr,18,4:54:02.1,+22:13:20,5.099110
Apr,19,4:54:51.7,+22:14:46,5.099460
Apr,20,4:55:41.7,+22:16:12,5.099800
Apr,21,4:56:31.9,+22:17:37,5.100150
Apr,22,4:57:22.6,+22:19:02,5.100490
Apr,23,4:58:13.5,+22:20:26,5.100840
Apr,24,4:59:04.8,+22:21:49,5.101180
Apr,25,4:59:56.4,+22:23:12,5.101530
Apr,26,5:00:48.3,+22:24:34,5.101870
Apr,27,5:01:40.5,+22:25:56,5.102220
Apr,28,5:02:33.0,+22:27:16,5.102560
Apr,29,5:03:25.7,+22:28:36,5.102910
Apr,30,5:04:18.8,+22:29:55,5.103250
May,1,5:05:12.2,+22:31:14,5.103600
May,2,5:06:05.8,+22:32:31,5.103950
May,3,5:06:59.7,+22:33:48,5.104290
May,4,5:07:53.8,+22:35:04,5.104640
May,5,5:08:48.2,+22:36:18,5.104990
May,6,5:09:42.9,+22:37:32,5.105340
May,7,5:10:37.8,+22:38:45,5.105680
May,8,5:11:33.0,+22:39:57,5.106030
May,9,5:12:28.4,+22:41:08,5.106380
May,10,5:13:24.0,+22:42:18,5.106730
May,11,5:14:19.8,+22:43:27,5.107070
May,12,5:15:15.8,+22:44:35,5.107420
May,13,5:16:12.1,+22:45:41,5.107770
May,14,5:17:08.5,+22:46:47,5.108120
May,15,5:18:05.2,+22:47:51,5.108470
May,16,5:19:02.0,+22:48:55,5.108820
May,17,5:19:59.0,+22:49:57,5.109170
May,18,5:20:56.2,+22:50:58,5.109520
May,19,5:21:53.5,+22:51:58,5.109870
May,20,5:22:51.0,+22:52:56,5.110220
May,21,5:23:48.7,+22:53:54,5.110570
May,22,5:24:46.5,+22:54:50,5.110920
May,23,5:25:44.4,+22:55:45,5.111270
May,24,5:26:42.5,+22:56:38,5.111620
May,25,5:27:40.8,+22:57:31,5.111970
May,26,5:28:39.1,+22:58:22,5.112320
May,27,5:29:37.6,+22:59:11,5.112670
May,28,5:30:36.2,+23:00:00,5.113020
May,29,5:31:34.9,+23:00:47,5.113370
May,30,5:32:33.8,+23:01:33,5.113730
May,31,5:33:32.7,+23:02:17,5.114080
Jun,1,5:34:31.8,+23:03:00,5.114430
Jun,2,5:35:30.9,+23:03:42,5.114780
Jun,3,5:36:30.1,+23:04:22,5.115130
Jun,4,5:37:29.5,+23:05:01,5.115490
Jun,5,5:38:28.9,+23:05:38,5.115840
Jun,6,5:39:28.3,+23:06:14,5.116190
Jun,7,5:40:27.9,+23:06:49,5.116540
Jun,8,5:41:27.5,+23:07:22,5.116900
Jun,9,5:42:27.2,+23:07:54,5.117250
Jun,10,5:43:26.9,+23:08:24,5.117600
Jun,11,5:44:26.6,+23:08:53,5.117960
Jun,12,5:45:26.4,+23:09:21,5.118310
Jun,13,5:46:26.3,+23:09:47,5.118670
Jun,14,5:47:26.1,+23:10:11,5.119020
Jun,15,5:48:26.0,+23:10:34,5.119370
Jun,16,5:49:25.9,+23:10:56,5.119730
Jun,17,5:50:25.8,+23:11:16,5.120080
Jun,18,5:51:25.7,+23:11:35,5.120440
Jun,19,5:52:25.6,+23:11:52,5.120790
Jun,20,5:53:25.5,+23:12:08,5.121150
Jun,21,5:54:25.4,+23:12:23,5.121500
Jun,22,5:55:25.3,+23:12:36,5.121860
Jun,23,5:56:25.1,+23:12:47,5.122210
Jun,24,5:57:25.0,+23:12:57,5.122570
Jun,25,5:58:24.8,+23:13:06,5.122920
Jun,26,5:59:24.5,+23:13:13,5.123280
Jun,27,6:00:24.3,+23:13:19,5.123640
Jun,28,6:01:24.0,+23:13:23,5.123990
Jun,29,6:02:23.6,+23:13:26,5.124350
Jun,30,6:03:23.2,+23:13:27,5.124710
Jul,1,6:04:22.8,+23:13:27,5.125060
Jul,2,6:05:22.3,+23:13:26,5.125420
Jul,3,6:06:21.7,+23:13:23,5.125780
Jul,4,6:07:21.0,+23:13:18,5.126130
Jul,5,6:08:20.3,+23:13:13,5.126490
Jul,6,6:09:19.5,+23:13:06,5.126850
Jul,7,6:10:18.5,+23:12:57,5.127210
Jul,8,6:11:17.5,+23:12:47,5.127560
Jul,9,6:12:16.4,+23:12:36,5.127920
Jul,10,6:13:15.2,+23:12:23,5.128280
Jul,11,6:14:13.9,+23:12:09,5.128640
Jul,12,6:15:12.4,+23:11:54,5.128990
Jul,13,6:16:10.8,+23:11:37,5.129350
Jul,14,6:17:09.1,+23:11:19,5.129710
Jul,15,6:18:07.2,+23:11:00,5.130070
Jul,16,6:19:05.3,+23:10:40,5.130430
Jul,17,6:20:03.1,+23:10:18,5.130790
Jul,18,6:21:00.8,+23:09:55,5.131150
Jul,19,6:21:58.3,+23:09:30,5.131510
Jul,20,6:22:55.7,+23:09:05,5.131860
Jul,21,6:23:52.9,+23:08:38,5.132220
Jul,22,6:24:50.0,+23:08:10,5.132580
Jul,23,6:25:46.8,+23:07:41,5.132940
Jul,24,6:26:43.5,+23:07:10,5.133300
Jul,25,6:27:40.0,+23:06:39,5.133660
Jul,26,6:28:36.3,+23:06:06,5.134020
Jul,27,6:29:32.4,+23:05:32,5.134380
Jul,28,6:30:28.3,+23:04:57,5.134740
Jul,29,6:31:24.0,+23:04:21,5.135100
Jul,30,6:32:19.4,+23:03:44,5.135460
Jul,31,6:33:14.7,+23:03:06,5.135820
Aug,1,6:34:09.7,+23:02:26,5.136190
Aug,2,6:35:04.5,+23:01:46,5.136550
Aug,3,6:35:59.1,+23:01:05,5.136910
Aug,4,6:36:53.4,+23:00:23,5.137270
Aug,5,6:37:47.5,+22:59:40,5.137630
Aug,6,6:38:41.2,+22:58:56,5.137990
Aug,7,6:39:34.8,+22:58:11,5.138350
Aug,8,6:40:28.0,+22:57:25,5.138710
Aug,9,6:41:21.0,+22:56:38,5.139080
Aug,10,6:42:13.7,+22:55:51,5.139440
