month, day, ra, dec, radius
Jan,1,7:08:56.6,+22:37:02,5.192280
Jan,2,7:08:21.9,+22:38:07,5.192650
Jan,3,7:07:47.1,+22:39:12,5.193020
Jan,4,7:07:12.3,+22:40:17,5.193390
Jan,5,7:06:37.4,+22:41:21,5.193760
Jan,6,7:06:02.4,+22:42:25,5.194130
Jan,7,7:05:27.5,+22:43:28,5.194500
Jan,8,7:04:52.7,+22:44:30,5.194870
Jan,9,7:04:17.9,+22:45:32,5.195240
Jan,10,7:03:43.2,+22:46:33,5.195610
Jan,11,7:03:08.6,+22:47:34,5.195980
Jan,12,7:02:34.2,+22:48:33,5.196350
Jan,13,7:01:59.9,+22:49:32,5.196720
Jan,14,7:01:25.8,+22:50:30,5.197090
Jan,15,7:00:52.0,+22:51:28,5.197450
Jan,16,7:00:18.4,+22:52:24,5.197820
Jan,17,6:59:45.0,+22:53:20,5.198190
Jan,18,6:59:12.0,+22:54:14,5.198560
Jan,19,6:58:39.3,+22:55:08,5.198930
Jan,20,6:58:06.9,+22:56:01,5.199300
Jan,21,6:57:34.9,+22:56:53,5.199670
Jan,22,6:57:03.2,+22:57:44,5.200040
Jan,23,6:56:32.0,+22:58:33,5.200410
Jan,24,6:56:01.2,+22:59:22,5.200780
Jan,25,6:55:30.9,+23:00:10,5.201150
Jan,26,6:55:01.1,+23:00:57,5.201520
Jan,27,6:54:31.7,+23:01:42,5.201880
Jan,28,6:54:02.9,+23:02:27,5.202250
Jan,29,6:53:34.6,+23:03:10,5.202620
Jan,30,6:53:06.9,+23:03:52,5.202990
Jan,31,6:52:39.7,+23:04:34,5.203360
Feb,1,6:52:13.2,+23:05:14,5.203730
Feb,2,6:51:47.3,+23:05:52,5.204100
Feb,3,6:51:22.0,+23:06:30,5.204470
Feb,4,6:50:57.4,+23:07:07,5.204830
Feb,5,6:50:33.5,+23:07:42,5.205200
Feb,6,6:50:10.2,+23:08:17,5.205570
Feb,7,6:49:47.7,+23:08:50,5.205940
Feb,8,6:49:25.9,+23:09:22,5.206310
Feb,9,6:49:04.8,+23:09:53,5.206680
Feb,10,6:48:44.4,+23:10:23,5.207050
Feb,11,6:48:24.8,+23:10:52,5.207420
Feb,12,6:48:05.9,+23:11:20,5.207780
Feb,13,6:47:47.8,+23:11:47,5.208150
Feb,14,6:47:30.5,+23:12:12,5.208520
Feb,15,6:47:14.0,+23:12:37,5.208890
Feb,16,6:46:58.3,+23:13:01,5.209260
Feb,17,6:46:43.4,+23:13:23,5.209630
Feb,18,6:46:29.3,+23:13:44,5.209990
Feb,19,6:46:16.0,+23:14:05,5.210360
Feb,20,6:46:03.5,+23:14:24,5.210730
Feb,21,6:45:51.9,+23:14:42,5.211100
Feb,22,6:45:41.0,+23:15:00,5.211470
Feb,23,6:45:31.1,+23:15:16,5.211830
Feb,24,6:45:21.9,+23:15:31,5.212200
Feb,25,6:45:13.7,+23:15:45,5.212570
Feb,26,6:45:06.2,+23:15:59,5.212940
Feb,27,6:44:59.7,+23:16:11,5.213310
Feb,28,6:44:54.0,+23:16:22,5.213670
Mar,1,6:44:49.1,+23:16:32,5.214040
Mar,2,6:44:45.1,+23:16:41,5.214410
Mar,3,6:44:42.0,+23:16:49,5.214780
Mar,4,6:44:39.8,+23:16:57,5.215140
Mar,5,6:44:38.4,+23:17:03,5.215510
Mar,6,6:44:37.9,+23:17:08,5.215880
Mar,7,6:44:38.2,+23:17:12,5.216250
Mar,8,6:44:39.4,+23:17:16,5.216610
Mar,9,6:44:41.5,+23:17:18,5.216980
Mar,10,6:44:44.4,+23:17:20,5.217350
Mar,11,6:44:48.1,+23:17:20,5.217720
Mar,12,6:44:52.7,+23:17:20,5.218080
Mar,13,6:44:58.1,+23:17:18,5.218450
Mar,14,6:45:04.4,+23:17:16,5.218820
Mar,15,6:45:11.5,+23:17:12,5.219180
Mar,16,6:45:19.5,+23:17:08,5.219550
Mar,17,6:45:28.2,+23:17:03,5.219920
Mar,18,6:45:37.8,+23:16:57,5.220280
Mar,19,6:45:48.1,+23:16:50,5.220650
Mar,20,6:45:59.3,+23:16:42,5.221020
Mar,21,6:46:11.3,+23:16:32,5.221380
Mar,22,6:46:24.1,+23:16:22,5.221750
Mar,23,6:46:37.6,+23:16:11,5.222120
Mar,24,6:46:52.0,+23:15:59,5.222480
Mar,25,6:47:07.1,+23:15:46,5.222850
Mar,26,6:47:23.0,+23:15:32,5.223220
Mar,27,6:47:39.7,+23:15:17,5.223580
Mar,28,6:47:57.1,+23:15:01,5.223950
Mar,29,6:48:15.3,+23:14:44,5.224310
Mar,30,6:48:34.3,+23:14:26,5.224680
Mar,31,6:48:53.9,+23:14:07,5.225050
Apr,1,6:49:14.4,+23:13:47,5.225410
Apr,2,6:49:35.5,+23:13:26,5.225780
Apr,3,6:49:57.4,+23:13:03,5.226140
Apr,4,6:50:20.0,+23:12:40,5.226510
Apr,5,6:50:43.2,+23:12:16,5.226870
Apr,6,6:51:07.2,+23:11:50,5.227240
Apr,7,6:51:31.9,+23:11:23,5.227600
Apr,8,6:51:57.2,+23:10:56,5.227970
Apr,9,6:52:23.2,+23:10:27,5.228340
Apr,10,6:52:49.8,+23:09:57,5.228700
Apr,11,6:53:17.2,+23:09:26,5.229070
Apr,12,6:53:45.1,+23:08:54,5.229430
Apr,13,6:54:13.7,+23:08:21,5.229800
Apr,14,6:54:42.9,+23:07:46,5.230160
Apr,15,6:55:12.7,+23:07:11,5.230520
Apr,16,6:55:43.1,+23:06:34,5.230890
Apr,17,6:56:14.2,+23:05:56,5.231250
Apr,18,6:56:45.8,+23:05:17,5.231620
Apr,19,6:57:18.0,+23:04:37,5.231980
Apr,20,6:57:50.7,+23:03:55,5.232350
Apr,21,6:58:24.1,+23:03:13,5.232710
Apr,22,6:58:58.0,+23:02:29,5.233080
Apr,23,6:59:32.5,+23:01:43,5.233440
Apr,24,7:00:07.5,+23:00:57,5.233800
Apr,25,7:00:43.0,+23:00:09,5.234170
Apr,26,7:01:19.1,+22:59:20,5.234530
Apr,27,7:01:55.7,+22:58:30,5.234890
Apr,28,7:02:32.8,+22:57:38,5.235260
Apr,29,7:03:10.5,+22:56:45,5.235620
Apr,30,7:03:48.6,+22:55:51,5.235980
May,1,7:04:27.2,+22:54:55,5.236350
May,2,7:05:06.3,+22:53:58,5.236710
May,3,7:05:45.9,+22:53:00,5.237070
