month, day, ra, dec, radius
Jan,1,9:36:44.2,+15:08:22,5.320770
Jan,2,9:36:26.6,+15:10:02,5.321090
Jan,3,9:36:08.4,+15:11:46,5.321410
Jan,4,9:35:49.5,+15:13:33,5.321730
Jan,5,9:35:30.0,+15:15:23,5.322040
Jan,6,9:35:09.9,+15:17:15,5.322360
Jan,7,9:34:49.1,+15:19:10,5.322680
Jan,8,9:34:27.8,+15:21:08,5.323000
Jan,9,9:34:05.8,+15:23:09,5.323320
Jan,10,9:33:43.2,+15:25:12,5.323630
Jan,11,9:33:20.1,+15:27:18,5.323950
Jan,12,9:32:56.4,+15:29:26,5.324270
Jan,13,9:32:32.1,+15:31:36,5.324580
Jan,14,9:32:07.3,+15:33:49,5.324900
Jan,15,9:31:42.0,+15:36:04,5.325210
Jan,16,9:31:16.2,+15:38:20,5.325530
Jan,17,9:30:50.0,+15:40:39,5.325840
Jan,18,9:30:23.2,+15:42:59,5.326160
Jan,19,9:29:56.0,+15:45:22,5.326470
Jan,20,9:29:28.4,+15:47:45,5.326790
Jan,21,9:29:00.4,+15:50:10,5.327100
Jan,22,9:28:32.0,+15:52:37,5.327420
Jan,23,9:28:03.2,+15:55:04,5.327730
Jan,24,9:27:34.1,+15:57:33,5.328040
Jan,25,9:27:04.7,+16:00:03,5.328360
Jan,26,9:26:35.0,+16:02:34,5.328670
Jan,27,9:26:05.0,+16:05:05,5.328980
Jan,28,9:25:34.8,+16:07:37,5.329290
Jan,29,9:25:04.3,+16:10:10,5.329610
Jan,30,9:24:33.6,+16:12:43,5.329920
Jan,31,9:24:02.7,+16:15:16,5.330230
Feb,1,9:23:31.7,+16:17:49,5.330540
Feb,2,9:23:00.5,+16:20:23,5.330850
Feb,3,9:22:29.2,+16:22:57,5.331160
Feb,4,9:21:57.8,+16:25:30,5.331470
Feb,5,9:21:26.4,+16:28:03,5.331780
Feb,6,9:20:54.8,+16:30:36,5.332090
Feb,7,9:20:23.3,+16:33:08,5.332400
Feb,8,9:19:51.7,+16:35:40,5.332710
Feb,9,9:19:20.2,+16:38:11,5.333020
Feb,10,9:18:48.7,+16:40:41,5.333330
Feb,11,9:18:17.2,+16:43:10,5.333640
Feb,12,9:17:45.9,+16:45:39,5.333940
Feb,13,9:17:14.6,+16:48:06,5.334250
Feb,14,9:16:43.5,+16:50:32,5.334560
Feb,15,9:16:12.6,+16:52:57,5.334870
Feb,16,9:15:41.8,+16:55:20,5.335170
Feb,17,9:15:11.2,+16:57:42,5.335480
Feb,18,9:14:40.8,+17:00:02,5.335790
Feb,19,9:14:10.7,+17:02:20,5.336090
Feb,20,9:13:40.9,+17:04:37,5.336400
Feb,21,9:13:11.4,+17:06:52,5.336700
Feb,22,9:12:42.2,+17:09:04,5.337010
Feb,23,9:12:13.3,+17:11:15,5.337310
Feb,24,9:11:44.8,+17:13:23,5.337620
Feb,25,9:11:16.7,+17:15:30,5.337920
Feb,26,9:10:48.9,+17:17:34,5.338230
Feb,27,9:10:21.6,+17:19:35,5.338530
Feb,28,9:09:54.8,+17:21:34,5.338830
Mar,1,9:09:28.4,+17:23:31,5.339140
Mar,2,9:09:02.4,+17:25:25,5.339440
Mar,3,9:08:37.0,+17:27:17,5.339740
Mar,4,9:08:12.0,+17:29:05,5.340040
Mar,5,9:07:47.6,+17:30:52,5.340350
Mar,6,9:07:23.7,+17:32:35,5.340650
Mar,7,9:07:00.4,+17:34:16,5.340950
Mar,8,9:06:37.6,+17:35:53,5.341250
Mar,9,9:06:15.4,+17:37:28,5.341550
Mar,10,9:05:53.8,+17:39:00,5.341850
Mar,11,9:05:32.8,+17:40:29,5.342150
Mar,12,9:05:12.4,+17:41:55,5.342450
Mar,13,9:04:52.7,+17:43:18,5.342750
