month, day, ra, dec, radius
Jan,1,23:48:55.2,-2:34:44,4.950070
Jan,2,23:49:24.9,-2:31:17,4.950030
Jan,3,23:49:55.0,-2:27:47,4.949980
Jan,4,23:50:25.7,-2:24:13,4.949940
Jan,5,23:50:57.0,-2:20:36,4.949900
Jan,6,23:51:28.8,-2:16:55,4.949850
Jan,7,23:52:01.1,-2:13:12,4.949810
Jan,8,23:52:33.9,-2:09:25,4.949770
Jan,9,23:53:07.2,-2:05:35,4.949730
Jan,10,23:53:41.0,-2:01:41,4.949690
Jan,11,23:54:15.3,-1:57:45,4.949650
Jan,12,23:54:50.1,-1:53:46,4.949620
Jan,13,23:55:25.4,-1:49:44,4.949580
Jan,14,23:56:01.1,-1:45:39,4.949540
Jan,15,23:56:37.3,-1:41:31,4.949500
Jan,16,23:57:13.9,-1:37:20,4.949470
Jan,17,23:57:50.9,-1:33:07,4.949430
Jan,18,23:58:28.5,-1:28:51,4.949400
Jan,19,23:59:06.4,-1:24:32,4.949360
Jan,20,23:59:44.7,-1:20:11,4.949330
Jan,21,0:00:23.5,-1:15:47,4.949300
Jan,22,0:01:02.7,-1:11:20,4.949260
Jan,23,0:01:42.3,-1:06:51,4.949230
Jan,24,0:02:22.3,-1:02:20,4.949200
Jan,25,0:03:02.6,-0:57:46,4.949170
Jan,26,0:03:43.4,-0:53:10,4.949140
Jan,27,0:04:24.5,-0:48:31,4.949110
Jan,28,0:05:06.0,-0:43:51,4.949080
Jan,29,0:05:47.9,-0:39:08,4.949050
Jan,30,0:06:30.2,-0:34:22,4.949020
Jan,31,0:07:12.8,-0:29:35,4.949000
Feb,1,0:07:55.7,-0:24:46,4.948970
Feb,2,0:08:39.0,-0:19:54,4.948940
Feb,3,0:09:22.6,-0:15:01,4.948920
Feb,4,0:10:06.6,-0:10:06,4.948890
Feb,5,0:10:50.9,-0:05:08,4.948870
Feb,6,0:11:35.5,-0:00:09,4.948850
Feb,7,0:12:20.4,+0:04:52,4.948820
Feb,8,0:13:05.6,+0:09:54,4.948800
Feb,9,0:13:51.1,+0:14:59,4.948780
Feb,10,0:14:36.9,+0:20:05,4.948760
Feb,11,0:15:23.0,+0:25:12,4.948740
Feb,12,0:16:09.4,+0:30:22,4.948720
Feb,13,0:16:56.0,+0:35:32,4.948700
Feb,14,0:17:42.9,+0:40:44,4.948680
Feb,15,0:18:30.0,+0:45:58,4.948660
Feb,16,0:19:17.4,+0:51:13,4.948640
Feb,17,0:20:05.1,+0:56:29,4.948620
Feb,18,0:20:53.0,+1:01:47,4.948610
Feb,19,0:21:41.1,+1:07:06,4.948590
Feb,20,0:22:29.5,+1:12:26,4.948580
Feb,21,0:23:18.1,+1:17:47,4.948560
Feb,22,0:24:06.9,+1:23:09,4.948550
Feb,23,0:24:55.9,+1:28:33,4.948530
Feb,24,0:25:45.1,+1:33:57,4.948520
Feb,25,0:26:34.6,+1:39:23,4.948510
Feb,26,0:27:24.3,+1:44:50,4.948500
Feb,27,0:28:14.1,+1:50:17,4.948490
Feb,28,0:29:04.2,+1:55:46,4.948470
Mar,1,0:29:54.4,+2:01:15,4.948460
Mar,2,0:30:44.9,+2:06:46,4.948450
Mar,3,0:31:35.5,+2:12:17,4.948450
Mar,4,0:32:26.2,+2:17:49,4.948440
Mar,5,0:33:17.2,+2:23:21,4.948430
Mar,6,0:34:08.3,+2:28:54,4.948420
Mar,7,0:34:59.6,+2:34:28,4.948420
Mar,8,0:35:51.0,+2:40:02,4.948410
Mar,9,0:36:42.6,+2:45:37,4.948410
Mar,10,0:37:34.3,+2:51:13,4.948400
Mar,11,0:38:26.1,+2:56:48,4.948400
Mar,12,0:39:18.1,+3:02:25,4.948390
Mar,13,0:40:10.2,+3:08:01,4.948390
Mar,14,0:41:02.4,+3:13:38,4.948390
Mar,15,0:41:54.7,+3:19:16,4.948390
Mar,16,0:42:47.2,+3:24:53,4.948380
Mar,17,0:43:39.7,+3:30:31,4.948380
Mar,18,0:44:32.4,+3:36:09,4.948380
Mar,19,0:45:25.1,+3:41:47,4.948380
Mar,20,0:46:18.0,+3:47:25,4.948390
Mar,21,0:47:10.9,+3:53:03,4.948390
Mar,22,0:48:03.9,+3:58:42,4.948390
Mar,23,0:48:57.0,+4:04:20,4.948390
Mar,24,0:49:50.2,+4:09:58,4.948400
Mar,25,0:50:43.5,+4:15:37,4.948400
Mar,26,0:51:36.8,+4:21:15,4.948410
Mar,27,0:52:30.2,+4:26:53,4.948410
Mar,28,0:53:23.7,+4:32:31,4.948420
Mar,29,0:54:17.2,+4:38:09,4.948420
Mar,30,0:55:10.8,+4:43:47,4.948430
Mar,31,0:56:04.4,+4:49:24,4.948440
Apr,1,0:56:58.1,+4:55:01,4.948450
Apr,2,0:57:51.8,+5:00:38,4.948460
Apr,3,0:58:45.5,+5:06:14,4.948460
Apr,4,0:59:39.3,+5:11:50,4.948470
Apr,5,1:00:33.1,+5:17:26,4.948490
Apr,6,1:01:26.9,+5:23:01,4.948500
Apr,7,1:02:20.8,+5:28:36,4.948510
Apr,8,1:03:14.6,+5:34:10,4.948520
Apr,9,1:04:08.5,+5:39:43,4.948530
Apr,10,1:05:02.3,+5:45:16,4.948550
Apr,11,1:05:56.2,+5:50:48,4.948560
Apr,12,1:06:50.1,+5:56:20,4.948580
Apr,13,1:07:43.9,+6:01:51,4.948590
Apr,14,1:08:37.7,+6:07:21,4.948610
Apr,15,1:09:31.5,+6:12:50,4.948620
Apr,16,1:10:25.3,+6:18:19,4.948640
Apr,17,1:11:19.1,+6:23:47,4.948660
Apr,18,1:12:12.8,+6:29:13,4.948680
Apr,19,1:13:06.5,+6:34:39,4.948700
Apr,20,1:14:00.1,+6:40:05,4.948720
Apr,21,1:14:53.8,+6:45:29,4.948740
Apr,22,1:15:47.3,+6:50:52,4.948760
Apr,23,1:16:40.9,+6:56:14,4.948780
Apr,24,1:17:34.3,+7:01:36,4.948800
Apr,25,1:18:27.7,+7:06:56,4.948820
Apr,26,1:19:21.1,+7:12:15,4.948850
Apr,27,1:20:14.4,+7:17:33,4.948870
Apr,28,1:21:07.6,+7:22:50,4.948890
Apr,29,1:22:00.8,+7:28:06,4.948920
Apr,30,1:22:53.9,+7:33:20,4.948940
May,1,1:23:46.8,+7:38:34,4.948970
May,2,1:24:39.7,+7:43:46,4.949000
May,3,1:25:32.6,+7:48:56,4.949020
May,4,1:26:25.3,+7:54:06,4.949050
May,5,1:27:17.9,+7:59:14,4.949080
May,6,1:28:10.4,+8:04:21,4.949110
May,7,1:29:02.7,+8:09:26,4.949140
May,8,1:29:55.0,+8:14:30,4.949170
May,9,1:30:47.1,+8:19:32,4.949200
May,10,1:31:39.1,+8:24:33,4.949230
May,11,1:32:31.0,+8:29:32,4.949260
May,12,1:33:22.7,+8:34:30,4.949300
May,13,1:34:14.3,+8:39:26,4.949330
May,14,1:35:05.8,+8:44:21,4.949360
May,15,1:35:57.1,+8:49:13,4.949400
May,16,1:36:48.2,+8:54:05,4.949430
May,17,1:37:39.2,+8:58:54,4.949470
May,18,1:38:30.0,+9:03:42,4.949500
May,19,1:39:20.7,+9:08:29,4.949540
May,20,1:40:11.2,+9:13:13,4.949580
May,21,1:41:01.5,+9:17:56,4.949620
May,22,1:41:51.6,+9:22:37,4.949650
May,23,1:42:41.6,+9:27:16,4.949690
May,24,1:43:31.3,+9:31:54,4.949730
May,25,1:44:20.9,+9:36:29,4.949770
May,26,1:45:10.3,+9:41:03,4.949810
May,27,1:45:59.4,+9:45:34,4.949860
May,28,1:46:48.4,+9:50:04,4.949900
May,29,1:47:37.1,+9:54:32,4.949940
May,30,1:48:25.6,+9:58:57,4.949980
May,31,1:49:13.9,+10:03:21,4.950030
Jun,1,1:50:01.9,+10:07:43,4.950070
Jun,2,1:50:49.7,+10:12:02,4.950120
Jun,3,1:51:37.3,+10:16:20,4.950160
Jun,4,1:52:24.6,+10:20:35,4.950210
Jun,5,1:53:11.6,+10:24:48,4.950260
Jun,6,1:53:58.4,+10:28:59,4.950300
Jun,7,1:54:44.9,+10:33:08,4.950350
Jun,8,1:55:31.1,+10:37:14,4.950400
Jun,9,1:56:17.1,+10:41:19,4.950450
Jun,10,1:57:02.8,+10:45:21,4.950500
Jun,11,1:57:48.1,+10:49:20,4.950550
Jun,12,1:58:33.2,+10:53:18,4.950600
Jun,13,1:59:17.9,+10:57:13,4.950650
Jun,14,2:00:02.4,+11:01:06,4.950700
Jun,15,2:00:46.5,+11:04:56,4.950750
Jun,16,2:01:30.4,+11:08:44,4.950810
Jun,17,2:02:13.9,+11:12:29,4.950860
Jun,18,2:02:57.0,+11:16:13,4.950920
Jun,19,2:03:39.9,+11:19:53,4.950970
Jun,20,2:04:22.4,+11:23:31,4.951030
Jun,21,2:05:04.5,+11:27:07,4.951080
Jun,22,2:05:46.3,+11:30:40,4.951140
Jun,23,2:06:27.8,+11:34:11,4.951200
Jun,24,2:07:08.8,+11:37:39,4.951250
Jun,25,2:07:49.5,+11:41:04,4.951310
Jun,26,2:08:29.8,+11:44:27,4.951370
Jun,27,2:09:09.7,+11:47:47,4.951430
Jun,28,2:09:49.2,+11:51:05,4.951490
Jun,29,2:10:28.4,+11:54:19,4.951550
Jun,30,2:11:07.1,+11:57:31,4.951610
Jul,1,2:11:45.3,+12:00:41,4.951680
Jul,2,2:12:23.2,+12:03:47,4.951740
Jul,3,2:13:00.6,+12:06:51,4.951800
Jul,4,2:13:37.6,+12:09:52,4.951860
Jul,5,2:14:14.1,+12:12:50,4.951930
Jul,6,2:14:50.2,+12:15:45,4.951990
Jul,7,2:15:25.8,+12:18:37,4.952060
Jul,8,2:16:00.9,+12:21:27,4.952130
Jul,9,2:16:35.6,+12:24:13,4.952190
Jul,10,2:17:09.8,+12:26:57,4.952260
Jul,11,2:17:43.4,+12:29:37,4.952330
Jul,12,2:18:16.6,+12:32:15,4.952400
Jul,13,2:18:49.3,+12:34:50,4.952460
Jul,14,2:19:21.5,+12:37:21,4.952530
