month, day, ra, dec, radius
Jan,1,16:40:32.4,-21:32:49,5.349840
Jan,2,16:41:25.9,-21:34:32,5.349540
Jan,3,16:42:19.2,-21:36:14,5.349250
Jan,4,16:43:12.3,-21:37:54,5.348960
Jan,5,16:44:05.2,-21:39:32,5.348670
Jan,6,16:44:57.9,-21:41:09,5.348370
Jan,7,16:45:50.4,-21:42:44,5.348080
Jan,8,16:46:42.7,-21:44:18,5.347780
Jan,9,16:47:34.7,-21:45:50,5.347490
Jan,10,16:48:26.5,-21:47:21,5.347200
Jan,11,16:49:18.0,-21:48:50,5.346900
Jan,12,16:50:09.3,-21:50:17,5.346610
Jan,13,16:51:00.3,-21:51:43,5.346310
Jan,14,16:51:51.1,-21:53:08,5.346010
Jan,15,16:52:41.5,-21:54:31,5.345720
Jan,16,16:53:31.7,-21:55:52,5.345420
Jan,17,16:54:21.6,-21:57:12,5.345130
Jan,18,16:55:11.2,-21:58:30,5.344830
Jan,19,16:56:00.5,-21:59:47,5.344530
Jan,20,16:56:49.4,-22:01:02,5.344230
Jan,21,16:57:38.1,-22:02:16,5.343940
Jan,22,16:58:26.4,-22:03:28,5.343640
Jan,23,16:59:14.4,-22:04:39,5.343340
Jan,24,17:00:02.1,-22:05:49,5.343040
Jan,25,17:00:49.4,-22:06:57,5.342740
Jan,26,17:01:36.4,-22:08:03,5.342440
Jan,27,17:02:23.0,-22:09:09,5.342140
Jan,28,17:03:09.2,-22:10:12,5.341840
Jan,29,17:03:55.1,-22:11:15,5.341540
Jan,30,17:04:40.6,-22:12:16,5.341240
Jan,31,17:05:25.7,-22:13:15,5.340940
Feb,1,17:06:10.4,-22:14:13,5.340640
Feb,2,17:06:54.7,-22:15:10,5.340340
Feb,3,17:07:38.5,-22:16:06,5.340040
Feb,4,17:08:21.9,-22:17:00,5.339740
Feb,5,17:09:04.9,-22:17:53,5.339430
Feb,6,17:09:47.5,-22:18:44,5.339130
Feb,7,17:10:29.6,-22:19:34,5.338830
Feb,8,17:11:11.3,-22:20:23,5.338520
Feb,9,17:11:52.4,-22:21:11,5.338220
