month, day, ra, dec, radius
Jan,1,20:19:50.6,-20:03:43,5.095620
Jan,2,20:20:47.5,-20:00:39,5.095280
Jan,3,20:21:44.6,-19:57:33,5.094940
Jan,4,20:22:41.7,-19:54:25,5.094600
Jan,5,20:23:39.0,-19:51:16,5.094260
Jan,6,20:24:36.4,-19:48:05,5.093930
Jan,7,20:25:33.8,-19:44:52,5.093590
Jan,8,20:26:31.4,-19:41:38,5.093250
Jan,9,20:27:29.0,-19:38:23,5.092920
Jan,10,20:28:26.8,-19:35:06,5.092580
Jan,11,20:29:24.6,-19:31:48,5.092240
Jan,12,20:30:22.5,-19:28:28,5.091910
Jan,13,20:31:20.4,-19:25:07,5.091570
Jan,14,20:32:18.4,-19:21:44,5.091230
Jan,15,20:33:16.4,-19:18:20,5.090900
Jan,16,20:34:14.5,-19:14:55,5.090560
Jan,17,20:35:12.6,-19:11:29,5.090230
Jan,18,20:36:10.7,-19:08:01,5.089890
Jan,19,20:37:08.9,-19:04:31,5.089560
Jan,20,20:38:07.1,-19:01:01,5.089230
Jan,21,20:39:05.2,-18:57:29,5.088890
Jan,22,20:40:03.4,-18:53:56,5.088560
Jan,23,20:41:01.6,-18:50:22,5.088220
Jan,24,20:41:59.8,-18:46:47,5.087890
Jan,25,20:42:57.9,-18:43:10,5.087560
Jan,26,20:43:56.1,-18:39:33,5.087220
Jan,27,20:44:54.2,-18:35:54,5.086890
Jan,28,20:45:52.3,-18:32:15,5.086560
Jan,29,20:46:50.4,-18:28:34,5.086230
Jan,30,20:47:48.4,-18:24:52,5.085890
Jan,31,20:48:46.4,-18:21:09,5.085560
Feb,1,20:49:44.3,-18:17:25,5.085230
Feb,2,20:50:42.2,-18:13:41,5.084900
Feb,3,20:51:40.1,-18:09:55,5.084570
Feb,4,20:52:37.8,-18:06:09,5.084240
Feb,5,20:53:35.5,-18:02:21,5.083910
Feb,6,20:54:33.2,-17:58:33,5.083580
Feb,7,20:55:30.7,-17:54:44,5.083250
Feb,8,20:56:28.2,-17:50:54,5.082920
Feb,9,20:57:25.6,-17:47:03,5.082590
Feb,10,20:58:22.9,-17:43:12,5.082260
Feb,11,20:59:20.1,-17:39:20,5.081930
Feb,12,21:00:17.2,-17:35:27,5.081600
Feb,13,21:01:14.2,-17:31:34,5.081270
Feb,14,21:02:11.0,-17:27:40,5.080940
Feb,15,21:03:07.8,-17:23:46,5.080620
Feb,16,21:04:04.4,-17:19:51,5.080290
Feb,17,21:05:00.9,-17:15:55,5.079960
Feb,18,21:05:57.2,-17:12:00,5.079630
Feb,19,21:06:53.4,-17:08:03,5.079310
Feb,20,21:07:49.4,-17:04:07,5.078980
Feb,21,21:08:45.3,-17:00:10,5.078650
Feb,22,21:09:41.1,-16:56:12,5.078330
Feb,23,21:10:36.6,-16:52:15,5.078000
Feb,24,21:11:32.0,-16:48:17,5.077680
Feb,25,21:12:27.2,-16:44:19,5.077350
Feb,26,21:13:22.3,-16:40:20,5.077020
Feb,27,21:14:17.2,-16:36:22,5.076700
Feb,28,21:15:11.8,-16:32:24,5.076370
Mar,1,21:16:06.3,-16:28:25,5.076050
Mar,2,21:17:00.6,-16:24:26,5.075730
Mar,3,21:17:54.7,-16:20:28,5.075400
Mar,4,21:18:48.6,-16:16:29,5.075080
Mar,5,21:19:42.3,-16:12:30,5.074760
Mar,6,21:20:35.8,-16:08:32,5.074430
Mar,7,21:21:29.1,-16:04:34,5.074110
Mar,8,21:22:22.1,-16:00:35,5.073790
Mar,9,21:23:14.9,-15:56:37,5.073460
Mar,10,21:24:07.5,-15:52:40,5.073140
Mar,11,21:24:59.8,-15:48:42,5.072820
Mar,12,21:25:51.9,-15:44:45,5.072500
Mar,13,21:26:43.8,-15:40:48,5.072180
Mar,14,21:27:35.3,-15:36:52,5.071860
Mar,15,21:28:26.6,-15:32:56,5.071540
Mar,16,21:29:17.7,-15:29:01,5.071220
Mar,17,21:30:08.5,-15:25:06,5.070900
Mar,18,21:30:59.0,-15:21:12,5.070580
Mar,19,21:31:49.2,-15:17:18,5.070260
Mar,20,21:32:39.1,-15:13:26,5.069940
Mar,21,21:33:28.7,-15:09:33,5.069620
Mar,22,21:34:18.0,-15:05:42,5.069300
Mar,23,21:35:07.1,-15:01:51,5.068980
Mar,24,21:35:55.8,-14:58:02,5.068660
Mar,25,21:36:44.2,-14:54:13,5.068350
Mar,26,21:37:32.3,-14:50:25,5.068030
Mar,27,21:38:20.1,-14:46:38,5.067710
Mar,28,21:39:07.5,-14:42:52,5.067390
Mar,29,21:39:54.6,-14:39:07,5.067080
Mar,30,21:40:41.4,-14:35:23,5.066760
Mar,31,21:41:27.8,-14:31:41,5.066440
Apr,1,21:42:13.9,-14:27:59,5.066130
Apr,2,21:42:59.7,-14:24:19,5.065810
Apr,3,21:43:45.1,-14:20:40,5.065500
Apr,4,21:44:30.1,-14:17:02,5.065180
Apr,5,21:45:14.8,-14:13:25,5.064870
Apr,6,21:45:59.1,-14:09:50,5.064550
Apr,7,21:46:43.0,-14:06:16,5.064240
Apr,8,21:47:26.6,-14:02:44,5.063930
Apr,9,21:48:09.7,-13:59:14,5.063610
Apr,10,21:48:52.5,-13:55:45,5.063300
Apr,11,21:49:34.8,-13:52:17,5.062990
Apr,12,21:50:16.8,-13:48:51,5.062670
Apr,13,21:50:58.3,-13:45:27,5.062360
Apr,14,21:51:39.4,-13:42:05,5.062050
Apr,15,21:52:20.1,-13:38:45,5.061740
Apr,16,21:53:00.4,-13:35:26,5.061430
Apr,17,21:53:40.2,-13:32:09,5.061110
Apr,18,21:54:19.6,-13:28:55,5.060800
Apr,19,21:54:58.5,-13:25:42,5.060490
Apr,20,21:55:37.0,-13:22:32,5.060180
Apr,21,21:56:15.0,-13:19:23,5.059870
Apr,22,21:56:52.6,-13:16:17,5.059560
