month, day, ra, dec, radius
Jan,1,14:58:20.3,-15:49:47,5.432200
Jan,2,14:59:00.4,-15:52:32,5.432050
Jan,3,14:59:40.2,-15:55:14,5.431890
Jan,4,15:00:19.6,-15:57:55,5.431740
Jan,5,15:00:58.6,-16:00:33,5.431590
Jan,6,15:01:37.2,-16:03:09,5.431440
Jan,7,15:02:15.5,-16:05:42,5.431280
Jan,8,15:02:53.3,-16:08:14,5.431130
Jan,9,15:03:30.7,-16:10:43,5.430980
Jan,10,15:04:07.7,-16:13:09,5.430820
Jan,11,15:04:44.2,-16:15:33,5.430670
Jan,12,15:05:20.3,-16:17:55,5.430510
Jan,13,15:05:56.0,-16:20:14,5.430360
Jan,14,15:06:31.2,-16:22:31,5.430200
Jan,15,15:07:05.9,-16:24:46,5.430040
Jan,16,15:07:40.2,-16:26:58,5.429880
Jan,17,15:08:14.0,-16:29:07,5.429730
Jan,18,15:08:47.3,-16:31:14,5.429570
Jan,19,15:09:20.1,-16:33:19,5.429410
Jan,20,15:09:52.4,-16:35:21,5.429250
Jan,21,15:10:24.1,-16:37:20,5.429090
Jan,22,15:10:55.4,-16:39:17,5.428930
Jan,23,15:11:26.1,-16:41:12,5.428770
Jan,24,15:11:56.3,-16:43:04,5.428610
Jan,25,15:12:25.9,-16:44:53,5.428450
Jan,26,15:12:55.0,-16:46:40,5.428290
Jan,27,15:13:23.6,-16:48:24,5.428130
Jan,28,15:13:51.5,-16:50:05,5.427960
Jan,29,15:14:19.0,-16:51:44,5.427800
Jan,30,15:14:45.8,-16:53:21,5.427640
Jan,31,15:15:12.0,-16:54:54,5.427470
Feb,1,15:15:37.7,-16:56:25,5.427310
Feb,2,15:16:02.8,-16:57:54,5.427140
Feb,3,15:16:27.2,-16:59:20,5.426980
Feb,4,15:16:51.1,-17:00:43,5.426810
Feb,5,15:17:14.3,-17:02:03,5.426650
Feb,6,15:17:36.9,-17:03:21,5.426480
Feb,7,15:17:58.9,-17:04:37,5.426310
Feb,8,15:18:20.3,-17:05:49,5.426150
Feb,9,15:18:40.9,-17:06:59,5.425980
Feb,10,15:19:01.0,-17:08:06,5.425810
Feb,11,15:19:20.3,-17:09:10,5.425640
Feb,12,15:19:39.0,-17:10:12,5.425470
Feb,13,15:19:57.1,-17:11:11,5.425300
Feb,14,15:20:14.4,-17:12:07,5.425130
Feb,15,15:20:31.0,-17:13:01,5.424960
Feb,16,15:20:47.0,-17:13:51,5.424790
Feb,17,15:21:02.2,-17:14:39,5.424620
Feb,18,15:21:16.8,-17:15:24,5.424450
Feb,19,15:21:30.6,-17:16:07,5.424280
Feb,20,15:21:43.7,-17:16:46,5.424100
Feb,21,15:21:56.1,-17:17:23,5.423930
Feb,22,15:22:07.8,-17:17:57,5.423760
Feb,23,15:22:18.7,-17:18:28,5.423580
Feb,24,15:22:28.9,-17:18:56,5.423410
Feb,25,15:22:38.4,-17:19:22,5.423230
Feb,26,15:22:47.1,-17:19:45,5.423060
Feb,27,15:22:55.1,-17:20:05,5.422880
Feb,28,15:23:02.3,-17:20:22,5.422710
Mar,1,15:23:08.8,-17:20:37,5.422530
Mar,2,15:23:14.6,-17:20:48,5.422350
Mar,3,15:23:19.6,-17:20:57,5.422180
Mar,4,15:23:23.9,-17:21:03,5.422000
Mar,5,15:23:27.4,-17:21:07,5.421820
Mar,6,15:23:30.1,-17:21:07,5.421640
Mar,7,15:23:32.1,-17:21:05,5.421460
Mar,8,15:23:33.3,-17:21:00,5.421280
Mar,9,15:23:33.7,-17:20:52,5.421100
Mar,10,15:23:33.4,-17:20:42,5.420920
Mar,11,15:23:32.3,-17:20:29,5.420740
Mar,12,15:23:30.4,-17:20:12,5.420560
Mar,13,15:23:27.8,-17:19:54,5.420380
Mar,14,15:23:24.4,-17:19:32,5.420200
Mar,15,15:23:20.2,-17:19:07,5.420010
Mar,16,15:23:15.3,-17:18:40,5.419830
Mar,17,15:23:09.6,-17:18:10,5.419650
Mar,18,15:23:03.2,-17:17:38,5.419460
Mar,19,15:22:56.0,-17:17:02,5.419280
Mar,20,15:22:48.0,-17:16:24,5.419090
Mar,21,15:22:39.3,-17:15:43,5.418910
Mar,22,15:22:29.9,-17:15:00,5.418720
Mar,23,15:22:19.7,-17:14:14,5.418540
Mar,24,15:22:08.8,-17:13:25,5.418350
Mar,25,15:21:57.2,-17:12:34,5.418160
Mar,26,15:21:44.8,-17:11:40,5.417980
Mar,27,15:21:31.8,-17:10:44,5.417790
Mar,28,15:21:18.1,-17:09:45,5.417600
Mar,29,15:21:03.7,-17:08:43,5.417410
Mar,30,15:20:48.5,-17:07:39,5.417220
Mar,31,15:20:32.8,-17:06:33,5.417030
Apr,1,15:20:16.3,-17:05:24,5.416840
Apr,2,15:19:59.2,-17:04:13,5.416650
Apr,3,15:19:41.5,-17:03:00,5.416460
Apr,4,15:19:23.1,-17:01:44,5.416270
Apr,5,15:19:04.1,-17:00:26,5.416080
Apr,6,15:18:44.4,-16:59:05,5.415890
Apr,7,15:18:24.2,-16:57:43,5.415700
Apr,8,15:18:03.4,-16:56:18,5.415500
Apr,9,15:17:42.0,-16:54:51,5.415310
Apr,10,15:17:20.0,-16:53:22,5.415120
Apr,11,15:16:57.5,-16:51:51,5.414920
