month, day, ra, dec, radius
Jan,1,1:54:23.6,+10:24:45,4.972730
Jan,2,1:54:28.6,+10:25:33,4.972890
Jan,3,1:54:34.4,+10:26:25,4.973060
Jan,4,1:54:41.0,+10:27:21,4.973230
Jan,5,1:54:48.4,+10:28:21,4.973390
Jan,6,1:54:56.6,+10:29:26,4.973560
Jan,7,1:55:05.5,+10:30:34,4.973730
Jan,8,1:55:15.2,+10:31:47,4.973900
Jan,9,1:55:25.6,+10:33:04,4.974060
Jan,10,1:55:36.9,+10:34:25,4.974230
Jan,11,1:55:48.8,+10:35:50,4.974400
Jan,12,1:56:01.5,+10:37:19,4.974570
Jan,13,1:56:15.0,+10:38:52,4.974740
Jan,14,1:56:29.1,+10:40:29,4.974920
Jan,15,1:56:44.1,+10:42:09,4.975090
Jan,16,1:56:59.7,+10:43:54,4.975260
Jan,17,1:57:16.1,+10:45:42,4.975430
Jan,18,1:57:33.2,+10:47:34,4.975610
Jan,19,1:57:51.0,+10:49:29,4.975780
Jan,20,1:58:09.5,+10:51:29,4.975950
Jan,21,1:58:28.7,+10:53:32,4.976130
Jan,22,1:58:48.6,+10:55:38,4.976310
Jan,23,1:59:09.2,+10:57:48,4.976480
Jan,24,1:59:30.5,+11:00:02,4.976660
Jan,25,1:59:52.5,+11:02:19,4.976830
Jan,26,2:00:15.1,+11:04:39,4.977010
Jan,27,2:00:38.4,+11:07:03,4.977190
Jan,28,2:01:02.4,+11:09:29,4.977370
Jan,29,2:01:27.0,+11:11:59,4.977550
Jan,30,2:01:52.3,+11:14:33,4.977730
Jan,31,2:02:18.1,+11:17:09,4.977910
Feb,1,2:02:44.7,+11:19:48,4.978090
Feb,2,2:03:11.8,+11:22:30,4.978270
Feb,3,2:03:39.6,+11:25:16,4.978450
Feb,4,2:04:07.9,+11:28:04,4.978630
Feb,5,2:04:36.9,+11:30:55,4.978820
Feb,6,2:05:06.4,+11:33:48,4.979000
Feb,7,2:05:36.5,+11:36:44,4.979180
Feb,8,2:06:07.2,+11:39:43,4.979370
Feb,9,2:06:38.5,+11:42:45,4.979550
Feb,10,2:07:10.3,+11:45:49,4.979740
Feb,11,2:07:42.7,+11:48:55,4.979920
Feb,12,2:08:15.7,+11:52:04,4.980110
Feb,13,2:08:49.1,+11:55:16,4.980300
Feb,14,2:09:23.1,+11:58:29,4.980480
Feb,15,2:09:57.7,+12:01:45,4.980670
Feb,16,2:10:32.8,+12:05:04,4.980860
Feb,17,2:11:08.3,+12:08:24,4.981050
Feb,18,2:11:44.4,+12:11:47,4.981240
Feb,19,2:12:21.1,+12:15:11,4.981430
Feb,20,2:12:58.2,+12:18:38,4.981620
Feb,21,2:13:35.8,+12:22:07,4.981810
Feb,22,2:14:13.8,+12:25:37,4.982000
Feb,23,2:14:52.4,+12:29:09,4.982190
Feb,24,2:15:31.4,+12:32:44,4.982380
Feb,25,2:16:10.9,+12:36:20,4.982570
