month, day, ra, dec, radius
Jan,1,20:04:21.4,-20:47:13,5.114070
Jan,2,20:05:19.3,-20:44:26,5.113720
Jan,3,20:06:17.4,-20:41:38,5.113370
Jan,4,20:07:15.5,-20:38:48,5.113020
Jan,5,20:08:13.8,-20:35:57,5.112670
Jan,6,20:09:12.1,-20:33:04,5.112320
Jan,7,20:10:10.4,-20:30:10,5.111970
Jan,8,20:11:08.8,-20:27:14,5.111610
Jan,9,20:12:07.3,-20:24:17,5.111260
Jan,10,20:13:05.8,-20:21:18,5.110910
Jan,11,20:14:04.4,-20:18:18,5.110560
Jan,12,20:15:03.0,-20:15:17,5.110210
Jan,13,20:16:01.7,-20:12:14,5.109860
Jan,14,20:17:00.4,-20:09:10,5.109510
Jan,15,20:17:59.1,-20:06:04,5.109160
Jan,16,20:18:57.8,-20:02:57,5.108810
Jan,17,20:19:56.5,-19:59:49,5.108460
Jan,18,20:20:55.3,-19:56:40,5.108120
Jan,19,20:21:54.0,-19:53:29,5.107770
Jan,20,20:22:52.8,-19:50:17,5.107420
Jan,21,20:23:51.5,-19:47:04,5.107070
Jan,22,20:24:50.2,-19:43:50,5.106720
Jan,23,20:25:48.9,-19:40:34,5.106370
Jan,24,20:26:47.6,-19:37:17,5.106030
Jan,25,20:27:46.2,-19:33:59,5.105680
Jan,26,20:28:44.9,-19:30:40,5.105330
Jan,27,20:29:43.4,-19:27:20,5.104980
Jan,28,20:30:41.9,-19:23:59,5.104640
Jan,29,20:31:40.4,-19:20:37,5.104290
Jan,30,20:32:38.8,-19:17:14,5.103940
Jan,31,20:33:37.1,-19:13:50,5.103590
Feb,1,20:34:35.3,-19:10:25,5.103250
Feb,2,20:35:33.5,-19:06:59,5.102900
Feb,3,20:36:31.5,-19:03:32,5.102560
Feb,4,20:37:29.5,-19:00:04,5.102210
Feb,5,20:38:27.4,-18:56:36,5.101860
Feb,6,20:39:25.2,-18:53:07,5.101520
Feb,7,20:40:22.8,-18:49:37,5.101170
Feb,8,20:41:20.4,-18:46:06,5.100830
Feb,9,20:42:17.8,-18:42:34,5.100480
Feb,10,20:43:15.2,-18:39:02,5.100140
Feb,11,20:44:12.3,-18:35:29,5.099800
Feb,12,20:45:09.4,-18:31:56,5.099450
Feb,13,20:46:06.3,-18:28:22,5.099110
Feb,14,20:47:03.1,-18:24:47,5.098760
Feb,15,20:47:59.8,-18:21:12,5.098420
Feb,16,20:48:56.3,-18:17:36,5.098080
Feb,17,20:49:52.6,-18:14:00,5.097730
Feb,18,20:50:48.8,-18:10:23,5.097390
Feb,19,20:51:44.8,-18:06:46,5.097050
Feb,20,20:52:40.7,-18:03:09,5.096700
Feb,21,20:53:36.4,-17:59:31,5.096360
Feb,22,20:54:31.9,-17:55:53,5.096020
Feb,23,20:55:27.2,-17:52:14,5.095680
Feb,24,20:56:22.3,-17:48:36,5.095340
Feb,25,20:57:17.2,-17:44:57,5.095000
Feb,26,20:58:11.9,-17:41:18,5.094650
Feb,27,20:59:06.4,-17:37:39,5.094310
Feb,28,21:00:00.7,-17:33:59,5.093970
Mar,1,21:00:54.7,-17:30:20,5.093630
Mar,2,21:01:48.5,-17:26:41,5.093290
Mar,3,21:02:42.1,-17:23:02,5.092950
Mar,4,21:03:35.5,-17:19:23,5.092610
Mar,5,21:04:28.6,-17:15:44,5.092270
Mar,6,21:05:21.5,-17:12:05,5.091930
Mar,7,21:06:14.1,-17:08:27,5.091590
Mar,8,21:07:06.4,-17:04:48,5.091250
Mar,9,21:07:58.5,-17:01:10,5.090910
Mar,10,21:08:50.4,-16:57:32,5.090580
