month, day, ra, dec, radius
Jan,1,16:26:05.2,-20:58:46,5.365760
Jan,2,16:26:57.1,-21:00:43,5.365490
Jan,3,16:27:48.8,-21:02:38,5.365220
Jan,4,16:28:40.3,-21:04:32,5.364940
Jan,5,16:29:31.5,-21:06:24,5.364670
Jan,6,16:30:22.6,-21:08:15,5.364390
Jan,7,16:31:13.3,-21:10:04,5.364110
Jan,8,16:32:03.9,-21:11:51,5.363840
Jan,9,16:32:54.1,-21:13:37,5.363560
Jan,10,16:33:44.1,-21:15:21,5.363280
Jan,11,16:34:33.9,-21:17:04,5.363010
Jan,12,16:35:23.4,-21:18:45,5.362730
Jan,13,16:36:12.6,-21:20:24,5.362450
Jan,14,16:37:01.4,-21:22:02,5.362170
Jan,15,16:37:50.0,-21:23:38,5.361890
Jan,16,16:38:38.3,-21:25:13,5.361620
Jan,17,16:39:26.3,-21:26:46,5.361340
Jan,18,16:40:14.0,-21:28:17,5.361060
Jan,19,16:41:01.3,-21:29:47,5.360780
Jan,20,16:41:48.2,-21:31:15,5.360500
Jan,21,16:42:34.9,-21:32:41,5.360220
Jan,22,16:43:21.1,-21:34:06,5.359930
Jan,23,16:44:07.0,-21:35:30,5.359650
Jan,24,16:44:52.6,-21:36:51,5.359370
Jan,25,16:45:37.7,-21:38:12,5.359090
Jan,26,16:46:22.5,-21:39:30,5.358810
Jan,27,16:47:06.9,-21:40:48,5.358530
Jan,28,16:47:50.8,-21:42:03,5.358240
Jan,29,16:48:34.4,-21:43:17,5.357960
Jan,30,16:49:17.6,-21:44:30,5.357680
Jan,31,16:50:00.3,-21:45:41,5.357390
Feb,1,16:50:42.6,-21:46:51,5.357110
Feb,2,16:51:24.5,-21:47:59,5.356820
Feb,3,16:52:05.9,-21:49:06,5.356540
Feb,4,16:52:46.9,-21:50:11,5.356250
Feb,5,16:53:27.4,-21:51:15,5.355970
Feb,6,16:54:07.5,-21:52:17,5.355680
Feb,7,16:54:47.1,-21:53:18,5.355400
Feb,8,16:55:26.2,-21:54:17,5.355110
Feb,9,16:56:04.8,-21:55:16,5.354820
Feb,10,16:56:42.9,-21:56:12,5.354540
Feb,11,16:57:20.6,-21:57:08,5.354250
Feb,12,16:57:57.7,-21:58:01,5.353960
Feb,13,16:58:34.2,-21:58:54,5.353670
Feb,14,16:59:10.3,-21:59:45,5.353380
Feb,15,16:59:45.8,-22:00:35,5.353100
Feb,16,17:00:20.8,-22:01:24,5.352810
Feb,17,17:00:55.2,-22:02:11,5.352520
Feb,18,17:01:29.0,-22:02:57,5.352230
Feb,19,17:02:02.3,-22:03:41,5.351940
Feb,20,17:02:35.0,-22:04:25,5.351650
Feb,21,17:03:07.1,-22:05:07,5.351360
Feb,22,17:03:38.6,-22:05:47,5.351070
Feb,23,17:04:09.5,-22:06:27,5.350780
Feb,24,17:04:39.8,-22:07:05,5.350480
Feb,25,17:05:09.5,-22:07:42,5.350190
Feb,26,17:05:38.5,-22:08:18,5.349900
Feb,27,17:06:06.9,-22:08:53,5.349610
Feb,28,17:06:34.7,-22:09:27,5.349310
Mar,1,17:07:01.9,-22:09:59,5.349020
Mar,2,17:07:28.4,-22:10:31,5.348730
Mar,3,17:07:54.2,-22:11:01,5.348430
Mar,4,17:08:19.4,-22:11:30,5.348140
Mar,5,17:08:43.9,-22:11:58,5.347850
Mar,6,17:09:07.8,-22:12:25,5.347550
Mar,7,17:09:31.0,-22:12:51,5.347260
Mar,8,17:09:53.4,-22:13:16,5.346960
Mar,9,17:10:15.2,-22:13:40,5.346670
Mar,10,17:10:36.3,-22:14:02,5.346370
Mar,11,17:10:56.7,-22:14:24,5.346070
Mar,12,17:11:16.3,-22:14:45,5.345780
Mar,13,17:11:35.2,-22:15:05,5.345480
Mar,14,17:11:53.4,-22:15:23,5.345180
Mar,15,17:12:10.9,-22:15:41,5.344890
Mar,16,17:12:27.6,-22:15:58,5.344590
Mar,17,17:12:43.5,-22:16:14,5.344290
Mar,18,17:12:58.8,-22:16:28,5.343990
Mar,19,17:13:13.2,-22:16:42,5.343700
Mar,20,17:13:26.9,-22:16:55,5.343400
Mar,21,17:13:39.8,-22:17:07,5.343100
Mar,22,17:13:51.9,-22:17:19,5.342800
Mar,23,17:14:03.2,-22:17:29,5.342500
Mar,24,17:14:13.8,-22:17:38,5.342200
Mar,25,17:14:23.6,-22:17:47,5.341900
Mar,26,17:14:32.6,-22:17:54,5.341600
Mar,27,17:14:40.8,-22:18:01,5.341300
Mar,28,17:14:48.2,-22:18:07,5.341000
Mar,29,17:14:54.8,-22:18:12,5.340690
Mar,30,17:15:00.6,-22:18:16,5.340390
Mar,31,17:15:05.6,-22:18:20,5.340090
Apr,1,17:15:09.9,-22:18:22,5.339790
Apr,2,17:15:13.3,-22:18:24,5.339490
Apr,3,17:15:15.9,-22:18:25,5.339180
Apr,4,17:15:17.7,-22:18:25,5.338880
Apr,5,17:15:18.7,-22:18:25,5.338580
Apr,6,17:15:18.9,-22:18:23,5.338270
Apr,7,17:15:18.3,-22:18:21,5.337970
Apr,8,17:15:16.9,-22:18:18,5.337660
Apr,9,17:15:14.6,-22:18:14,5.337360
Apr,10,17:15:11.6,-22:18:09,5.337050
Apr,11,17:15:07.7,-22:18:03,5.336750
Apr,12,17:15:03.0,-22:17:57,5.336440
Apr,13,17:14:57.6,-22:17:50,5.336140
Apr,14,17:14:51.3,-22:17:42,5.335830
Apr,15,17:14:44.2,-22:17:33,5.335530
Apr,16,17:14:36.3,-22:17:24,5.335220
Apr,17,17:14:27.6,-22:17:13,5.334910
Apr,18,17:14:18.2,-22:17:02,5.334600
Apr,19,17:14:07.9,-22:16:50,5.334300
Apr,20,17:13:56.9,-22:16:37,5.333990
Apr,21,17:13:45.0,-22:16:24,5.333680
Apr,22,17:13:32.5,-22:16:09,5.333370
Apr,23,17:13:19.1,-22:15:54,5.333060
Apr,24,17:13:05.0,-22:15:38,5.332750
Apr,25,17:12:50.2,-22:15:22,5.332450
Apr,26,17:12:34.7,-22:15:04,5.332140
Apr,27,17:12:18.4,-22:14:46,5.331830
Apr,28,17:12:01.4,-22:14:27,5.331520
Apr,29,17:11:43.7,-22:14:07,5.331210
Apr,30,17:11:25.3,-22:13:46,5.330900
May,1,17:11:06.2,-22:13:25,5.330580
May,2,17:10:46.5,-22:13:02,5.330270
May,3,17:10:26.1,-22:12:39,5.329960
May,4,17:10:05.0,-22:12:15,5.329650
May,5,17:09:43.3,-22:11:51,5.329340
May,6,17:09:21.0,-22:11:25,5.329030
May,7,17:08:58.0,-22:10:59,5.328710
